stock_code,parent_stock_type,parent_stock_code,stock_available
BLM002-BLK-SM,Bikini,BLM002,4,"Blueline\BLM002-BLK_01.jpg"
BLM003-NVY-SM,Boxer,BLM003,5,"Blueline\BLM003-BLK_01.jpg"
BLM003-BLK/WHT-SM,Boxer,BLM003,4,"Blueline\BLM003-BLK_WHT_01.jpg"
BLM006-BLK-LXL,Tops,BLM006,31,"Blueline\BLM006-BLK_01.jpg"
BLM006-BLK-SM,Tops,BLM006,30,"Blueline\BLM006-BLK_01.jpg"
BLM006-BLK/WHT-LXL,Tops,BLM006,13,"Blueline\BLM006-BLK_WHT_01.jpg"
BLM006-BLK/WHT-SM,Tops,BLM006,13,"Blueline\BLM006-BLK_WHT_01.jpg"
BLM007-BLK-SM,Tops,BLM007,5,"Blueline\BLM007-BLK_01.jpg"
BLM011-BLK-LXL,G-String,BLM011,15,"Blueline\BLM011-BLK_01.jpg"
BLM011-BLK-SM,G-String,BLM011,1,"Blueline\BLM011-BLK_01.jpg"
BLM011-LEO-LXL,G-String,BLM011,17,"Blueline\BLM011-LEO_01.jpg"
BLM011-LEO-SM,G-String,BLM011,33,"Blueline\BLM011-LEO_01.jpg"
BLM011-GYCAM-SM,G-String,BLM011,6,"Blueline\BLM011-GRCA_01.jpg"
BLM012-GYCAM-SM,Jock,BLM012,1,"Blueline\BLM012-GRCA_01.jpg"
BLM013-BLK-LXL,Bikini,BLM013,4,"Blueline\BLM013-BLK_01.jpg"
BLM013-BLK-SM,Bikini,BLM013,7,"Blueline\BLM013-BLK_01.jpg"
BLM016-BLK-SM,Thong,BLM016,0,"Blueline\BLM016-BLK_01.jpg"
BLM018-CAMO-LXL,Tops,BLM018,7,"Blueline\BLM018-CAM_01.jpg"
BLM018-CAMO-SM,Tops,BLM018,9,"Blueline\BLM018-CAM_01.jpg"
BLM018-LEO-LXL,Tops,BLM018,18,"Blueline\BLM018-LEO_01.jpg"
BLM018-LEO-SM,Tops,BLM018,17,"Blueline\BLM018-LEO_01.jpg"
BLM020-GYCAM-LXL,Tops,BLM020,6,"Blueline\BLM020-GRCA_01.jpg"
BLM020-GYCAM-SM,Tops,BLM020,9,"Blueline\BLM020-GRCA_01.jpg"
BLM020-LEO-LXL,Tops,BLM020,12,"Blueline\BLM018-LEO_01.jpg"
BLM020-LEO-SM,Tops,BLM020,16,"Blueline\BLM018-LEO_01.jpg"
