stock_code,parent_stock_type,parent_stock_code,stock_available
BEV017,Brief,BEV017,0,"Envy\BEV017-003_01.jpg"
BEV032-RED-LXL,Thong,BEV032,76,"Envy\BEV032-RED_01.jpg"
BEV032-RED-ML,Thong,BEV032,13,"Envy\BEV032-RED_01.jpg"
BEV032-RED-SM,Thong,BEV032,20,"Envy\BEV032-RED_01.jpg"
BEV032-BLK-LXL,Thong,BEV032,22,"Envy\BEV032-BLK_01.jpg"
BEV032-BLK-ML,Thong,BEV032,12,"Envy\BEV032-BLK_01.jpg"
BEV032-BLK-SM,Thong,BEV032,11,"Envy\BEV032-BLK_01.jpg"
BEV035-PNK-LXL,Thong,BEV035,9,"Envy\BEV035-PNK_01.jpg"
BEV035-GRN-ML,Thong,BEV035,50,"Envy\BEV035-GRN_01.jpg"
BEV035-GRN-SM,Thong,BEV035,56,"Envy\BEV035-GRN_01.jpg"
BEV062-PNK-ML,Thong,BEV062,21,"Envy\E062-PNK_front.jpg"
BEV062-PNK-SM,Thong,BEV062,17,"Envy\E062-PNK_front.jpg"
BEV063-WHT-LXL,Trunk,BEV063,34,"Envy\E063-WHT_front.jpg"
BEV063-WHT-ML,Trunk,BEV063,29,"Envy\E063-WHT_front.jpg"
BEV063-WHT-SM,Trunk,BEV063,22,"Envy\E063-WHT_front.jpg"
BEV063-GRY/STRP-LXL,Trunk,BEV063,40,"Envy\E063-STP_front.jpg"
BEV063-GRY/STRP-ML,Trunk,BEV063,45,"Envy\E063-STP_front.jpg"
BEV063-GRY/STRP-SM,Trunk,BEV063,42,"Envy\E063-STP_front.jpg"
BEV-EC03-BLK-LXL,"Mens Dress Up",BEV-EC03,16,"Envy\EC03_front.jpg"
BEV-EC03-BLK-ML,"Mens Dress Up",BEV-EC03,3,"Envy\EC03_front.jpg"
BEV-EC04-BLK-LXL,"Mens Dress Up",BEV-EC04,27,"Envy\EC04_front.jpg"
BEV-EC04-BLK-ML,"Mens Dress Up",BEV-EC04,21,"Envy\EC04_front.jpg"
BEV001-WHT-LXL,Jock,BEV001,2,"Envy\BEV001-002_01.jpg"
BEV006-WHT-LXL,Brief,BEV006,30,"Envy\BEV006-002_01.jpg"
BEV006-WHT-ML,Brief,BEV006,70,"Envy\BEV006-002_01.jpg"
BEV006-WHT-SM,Brief,BEV006,21,"Envy\BEV006-002_01.jpg"
BEV006-BLK-LXL,Brief,BEV006,11,"Envy\BEV006-003_01.jpg"
BEV006-BLK-ML,Brief,BEV006,8,"Envy\BEV006-003_01.jpg"
BEV006-BLK-SM,Brief,BEV006,11,"Envy\BEV006-003_01.jpg"
BEV010-BLK-ML,Trunk,BEV010,1,"Envy\BEV010-003_01.jpg"
BEV011-BLK-LXL,Jock,BEV011,47,"Envy\BEV011-003_01.jpg"
BEV012-CAMO-LXL,Thong,BEV012,28,"Envy\BEV012-403_01.jpg"
BEV012-CAMO-ML,Thong,BEV012,22,"Envy\BEV012-403_01.jpg"
BEV012-CAMO-SM,Thong,BEV012,26,"Envy\BEV012-403_01.jpg"
BEV012-BLK-ML,Thong,BEV012,15,"Envy\BEV012-003_01.jpg"
BEV014-BLK-SM,Trunk,BEV014,11,"Envy\BEV014-003_01.jpg"
BEV014-CAMO-LXL,Trunk,BEV014,24,"Envy\BEV014-403_01.jpg"
BEV015-CAMO-LXL,Tank,BEV015,39,"Envy\BEV015-403_01.jpg"
BEV015-CAMO-ML,Tank,BEV015,43,"Envy\BEV015-403_01.jpg"
BEV015-CAMO-SM,Tank,BEV015,41,"Envy\BEV015-403_01.jpg"
BEV019-BLK-LXL,Trunk,BEV019,34,"Envy\BEV019-003_01.jpg"
BEV020-BLK-LXL,Tank,BEV020,49,"Envy\BEV020-003_01.jpg"
BEV020-BLK-ML,Tank,BEV020,48,"Envy\BEV020-003_01.jpg"
BEV020-BLK-SM,Tank,BEV020,38,"Envy\BEV020-003_01.jpg"
BEV021-BLK-LXL,G-String,BEV021,23,"Envy\BEV021-003_01.jpg"
BEV021-WHT-LXL,G-String,BEV021,9,"Envy\BEV021-002_01.jpg"
BEV021-WHT-ML,G-String,BEV021,6,"Envy\BEV021-002_01.jpg"
BEV021-WHT-SM,G-String,BEV021,4,"Envy\BEV021-002_01.jpg"
BEV023-WHT-LXL,Trunk,BEV023,17,"Envy\BEV023-002_01.jpg"
BEV023-WHT-SM,Trunk,BEV023,25,"Envy\BEV023-002_01.jpg"
BEV024-BLK-LXL,Boxer,BEV024,4,"Envy\BEV024-003_01.jpg"
BEV024-BLK-SM,Boxer,BEV024,9,"Envy\BEV024-003_01.jpg"
BEV024-WHT-LXL,Boxer,BEV024,11,"Envy\BEV024-002_01.jpg"
BEV024-WHT-SM,Boxer,BEV024,29,"Envy\BEV024-002_01.jpg"
BEV024-BLK/WHT-LXL,Boxer,BEV024,42,"Envy\BEV024-013_01.jpg"
BEV024-BLK/WHT-ML,Boxer,BEV024,35,"Envy\BEV024-013_01.jpg"
BEV024-BLK/WHT-SM,Boxer,BEV024,40,"Envy\BEV024-013_01.jpg"
BEV025-WHT-LXL,Trunk,BEV025,37,"Envy\BEV025-WHT_01.jpg"
BEV025-WHT-ML,Trunk,BEV025,26,"Envy\BEV025-WHT_01.jpg"
BEV025-WHT-SM,Trunk,BEV025,32,"Envy\BEV025-WHT_01.jpg"
BEV026-BLU-LXL,Trunk,BEV026,35,"Envy\BEV026-BLU_01.jpg"
BEV026-BLU-ML,Trunk,BEV026,26,"Envy\BEV026-BLU_01.jpg"
BEV026-BLU-SM,Trunk,BEV026,34,"Envy\BEV026-BLU_01.jpg"
BEV027-BLK-ML,Trunk,BEV027,4,"Envy\BEV027-BLK_01.jpg"
"BEV028-GN MTL-LXL",Trunk,BEV028,36,"Envy\BEV028-GUN_01.jpg"
"BEV028-GN MTL-ML",Trunk,BEV028,25,"Envy\BEV028-GUN_01.jpg"
"BEV028-GN MTL-SM",Trunk,BEV028,32,"Envy\BEV028-GUN_01.jpg"
BEV031-BLK-SM,Trunk,BEV031,2,"Envy\BEV031-BLK_01.jpg"
BEV034-GRN-LXL,Thong,BEV034,12,"Envy\BEV034-GRN_01.jpg"
BEV034-GRN-SM,Thong,BEV034,37,"Envy\BEV034-GRN_01.jpg"
BEV037-WHT-LXL,Brief,BEV037,2,"Envy\BEV037-002_01.jpg"
BEV037-WHT-SM,Brief,BEV037,3,"Envy\BEV037-002_01.jpg"
BEV038-WHT-LXL,Trunk,BEV038,24,"Envy\BEV038-002_01.jpg"
BEV038-WHT-ML,Trunk,BEV038,31,"Envy\BEV038-002_01.jpg"
BEV038-WHT-SM,Trunk,BEV038,33,"Envy\BEV038-002_01.jpg"
BEV041-BLK-LXL,Boxer,BEV041,22,"Envy\BEV041-003_01.jpg"
BEV041-BLK-ML,Boxer,BEV041,0,"Envy\BEV041-003_01.jpg"
BEV041-BLK-SM,Boxer,BEV041,14,"Envy\BEV041-003_01.jpg"
BEV044-WHT-LXL,Trunk,BEV044,12,"Envy\BEV044-002_01.jpg"
BEV044-WHT-ML,Trunk,BEV044,12,"Envy\BEV044-002_01.jpg"
BEV044-WHT-SM,Trunk,BEV044,16,"Envy\BEV044-002_01.jpg"
BEV045-BLK-LXL,Boxer,BEV045,34,"Envy\BEV045-003_01.jpg"
BEV045-BLK-ML,Boxer,BEV045,27,"Envy\BEV045-003_01.jpg"
BEV045-BLK-SM,Boxer,BEV045,41,"Envy\BEV045-003_01.jpg"
BEV045-WHT-LXL,Boxer,BEV045,44,"Envy\BEV045-002_01.jpg"
BEV045-WHT-ML,Boxer,BEV045,44,"Envy\BEV045-002_01.jpg"
BEV045-WHT-SM,Boxer,BEV045,47,"Envy\BEV045-002_01.jpg"
BEV046-BLK-LXL,Boxer,BEV046,25,"Envy\BEV046-003_01.jpg"
BEV046-BLK-ML,Boxer,BEV046,19,"Envy\BEV046-003_01.jpg"
BEV046-BLK-SM,Boxer,BEV046,36,"Envy\BEV046-003_01.jpg"
BEV046-WHT-LXL,Boxer,BEV046,36,"Envy\BEV046-002_01.jpg"
BEV046-WHT-ML,Boxer,BEV046,36,"Envy\BEV046-002_01.jpg"
BEV046-WHT-SM,Boxer,BEV046,39,"Envy\BEV046-002_01.jpg"
BEV049-BLK-LXL,Trunk,BEV049,24,"Envy\E049-BLK_front.jpg"
BEV049-BLK-ML,Trunk,BEV049,25,"Envy\E049-BLK_front.jpg"
BEV051-BLK-LXL,Trunk,BEV051,22,"Envy\E051-BLK_front.jpg"
BEV051-BLK-ML,Trunk,BEV051,4,"Envy\E051-BLK_front.jpg"
BEV051-BLK-SM,Trunk,BEV051,15,"Envy\E051-BLK_front.jpg"
BEV052-BLK-LXL,Boxer,BEV052,15,"Envy\E052-BLK_front.jpg"
BEV052-BLK-ML,Boxer,BEV052,13,"Envy\E052-BLK_front.jpg"
BEV052-BLK-SM,Boxer,BEV052,10,"Envy\E052-BLK_front.jpg"
BEV053-GRY-LXL,Brief,BEV053,26,"Envy\E053-GRY_front.jpg"
BEV053-GRY-ML,Brief,BEV053,21,"Envy\E053-GRY_front.jpg"
BEV053-GRY-SM,Brief,BEV053,33,"Envy\E053-GRY_front.jpg"
BEV058-BLK-LXL,Trunk,BEV058,37,"Envy\E058-BLK_front.jpg"
BEV058-BLK-ML,Trunk,BEV058,36,"Envy\E058-BLK_front.jpg"
BEV058-BLK-SM,Trunk,BEV058,36,"Envy\E058-BLK_front.jpg"
BEV060-BLK-LXL,Trunk,BEV060,36,"Envy\E060-BLK_front.jpg"
BEV060-BLK-ML,Trunk,BEV060,32,"Envy\E060-BLK_front.jpg"
BEV060-BLK-SM,Trunk,BEV060,33,"Envy\E060-BLK_front.jpg"
BEV061-BLK-LXL,Boxer,BEV061,38,"Envy\E061-BLK_front.jpg"
BEV061-BLK-ML,Boxer,BEV061,41,"Envy\E061-BLK_front.jpg"
BEV061-BLK-SM,Boxer,BEV061,41,"Envy\E061-BLK_front.jpg"
