stock_code,parent_stock_type,parent_stock_code,stock_available
GL30010-RED/BLK-M/L,Panty,GL30010,4,"Glitter\30010-RED-F"
GL30010-RED/BLK-S/M,Panty,GL30010,0,"Glitter\30010-RED-F"
GL30013X,Panty,GL30013X,1,"Glitter\30013X-BLAC-F"
GL31511,Pastee,GL31511,5,"Glitter\31511-WHIT-F"
GL31517,Pastee,GL31517,2,"Glitter\31517-BLAC-F"
GL31523,Pastee,GL31523,0,"Glitter\31523-RED-F"
GL31525,Pastee,GL31525,5,"Glitter\31525-BLAC-F"
GL31535,Pastee,GL31535,10,"Glitter\31535-BLAC-F"
GL32007,Dress,GL32007,6,"Glitter\32007-BLAC-F"
GL32010,Dress,GL32010,5,"Glitter\32010-BLAC-F"
GL32026,Dress,GL32026,8,"Glitter\32026-BLAC-F"
GL32030,Dress,GL32030,1,"Glitter\32030-BLAC-F.jpg","Glitter\32030-BLAC-B.jpg"
GL32042-BLK-OS,Chemise,GL32042,13,"Glitter\32042-BLAC-F"
GL32042-HPNK-OS,Chemise,GL32042,3,"Glitter\32042-H-PI-F"
GL32051X-RED-QS,Chemise,GL32051X,0,"Glitter\32051X-RED-F.jpg","Glitter\32051X-RED-B.jpg"
GL32061,Chemise,GL32061,1,"Glitter\32061-BLAC-F"
GL32065,Chemise,GL32065,1,"Glitter\32065-BLAC-F"
GL32066,Chemise,GL32066,5,"Glitter\32066-BLAC-F"
GL32084,Chemise,GL32084,8,"Glitter\32084-BLAC-F"
GL32087,Chemise,GL32087,2,"Glitter\32087-RED-F"
GL32095,Chemise,GL32095,1,"Glitter\32095-NAVY-F"
GL32096,Chemise,GL32096,7,"Glitter\32096-BLAC-F"
GL32102X,Chemise,GL32102X,1,"Glitter\32102X-BLAC-F"
GL32112,Chemise,GL32112,1,"Glitter\32112-RED-F"
GL32112X,Chemise,GL32112X,2,"Glitter\32112X-RED-F-2"
GL32114X,Chemise,GL32114X,1,"Glitter\32114X-BLAC-F"
GL32115,Chemise,GL32115,1,"Glitter\32115-BLUE-F"
GL32115X,Chemise,GL32115X,9,"Glitter\32115X-BLUE-F-2"
GL32116X,Chemise,GL32116X,1,"Glitter\32116X-BLUE-F"
GL32117-BLK-S/M,Dress,GL32117,0,"Glitter\32117-BLAC-F"
GL32117-BLK-L/XL,Dress,GL32117,0,"Glitter\32117-BLAC-F"
GL32118,Chemise,GL32118,3,"Glitter\32118-BLAC-F"
GL32120,Chemise,GL32120,1,"Glitter\32120-BLAC-F"
GL32120X,Chemise,GL32120X,1,"Glitter\32120X-BLAC-F"
GL32121,Chemise,GL32121,2,"Glitter\32121-BLAC-F"
GL32123,Dress,GL32123,4,"Glitter\32123-BLAC-F"
GL32123X,Dress,GL32123X,3,"Glitter\32123X-BLAC-F"
GL32124-BLK-S,Dress,GL32124,2,"Glitter\32124-BLAC-F"
GL32124-BLK-M,Dress,GL32124,1,"Glitter\32124-BLAC-F"
