stock_code,parent_stock_type,parent_stock_code,stock_available
FLORENCE-BLK-10,Hades,FLORENCE,1,"Hades\FLORENCE.jpg"
HERA-BLK-7,Hades,HERA,1,"Hades\HERA2.jpg"
ALDER-BLK-8,Hades,ALDER-BLK-8,1,"P:\Hades Footwear\ADLER-MIDBRWN_03.jpg"
ARMA-BLK-6,Hades,ARMA,1,"Hades\ARMA_BLK.jpg"
BJORN-BLK-6,Hades,BJORN,1,"Hades\BJORN-BLK.jpg"
BOND-BLK-8,Hades,BOND,1,"Hades\BOND_3.jpg"
ICON-BRN-6,Hades,ICON,1,"Hades\BJORN-BLK.jpg"
LAWSON-BLK-8,Hades,LAWSON,1,"Hades\LAWSON-9050-2.jpg"
PRISM-BLK-6,Hades,PRISM,1,"Hades\PRISM_2.jpg"
RIPLEY-PEW-11,Hades,RIPLEY,1,"Hades\Ripley_Pwt.jpg"
SCARLET-BRN-7,Hades,SCARLET,1,"Hades\SCARLET2.jpg"
SHADE-BLK-8,Hades,SHADE,1,"Hades\SHADE_BLK.jpg"
SHADE-BRG-8,Hades,SHADE,1,"Hades\SHADE_RED2.jpg"
SIDHE-BLK-8,Hades,SIDHE,1,"Hades\SIDHE1.jpg"
STELLA-BLK-7,Hades,STELLA,1,"Hades\STELLA_BLK3.jpg"
