stock_code,parent_stock_type,parent_stock_code,stock_available
MS2706-BLK-OS,"Posing Strap",MS2706-BLK-OS,12,"Magic Silk\2706BLK.jpg","Magic Silk\2706BLK_Back.jpg","Magic Silk\2706BLK"
MS6886-COB-M,Shorts,MS6886,1,"Magic Silk\6886COB.jpg","Magic Silk\6886COB_Back.jpg"
MSB404-BLK-S/M,Lingerie,MSB404,0,"Magic Silk\B404BLK.jpg","Magic Silk\B404BLK_Back.jpg"
MSB405-BLK-L/XL,Lingerie,MSB405,1,"Magic Silk\B405BLK_Alt1.jpg","Magic Silk\B405BLK_Back.jpg"
MSB405-BLK-QS,Teddy,MSB405-BLK-QS,1,"Magic Silk\B405BLK_QS.jpg","Magic Silk\B405BLK_Back_QS.jpg","Magic Silk\B405BLK_ALT_QS.jpg"
MSB410-BLK-QS,Skirt,MSB410-BLK-QS,2,"Magic Silk\B410BLK_QS.jpg","Magic Silk\B410BLK_Back_QS.jpg","Magic Silk\B410BLK_ALT_QS.jpg"
MSB411-BLK-L/XL,Lingerie,MSB411,1,"Magic Silk\B411BLK_1.jpg","Magic Silk\B411BLK_3.jpg"
MSB414-BLK-QUEEN,Lingerie,MSB414,2,"Magic Silk\B414BLK_QS.jpg","Magic Silk\B414BLK_Back_QS.jpg"
MSB414-PNK-QUEEN,Lingerie,MSB414,2,"Magic Silk\B414PIN_QS.jpg","Magic Silk\B414PIN_Back_QS.jpg"
MSB420-RED-M,Lingerie,MSB420,1,"Magic Silk\B420RED.jpg","Magic Silk\B420&B421BackRED.jpg"
MSB420-RED-XL,Lingerie,MSB420,24,"Magic Silk\B420RED.jpg","Magic Silk\B420&B421BackRED.jpg"
MSB420-BLK-L,"Bustiers & Corsets",MSB420-BLK-L,2,"Magic Silk\B420BLK.jpg","Magic Silk\B420&B421BackBLK.jpg"
MSB420-BLK-M,Lingerie,MSB420,2,"Magic Silk\B420BLK.jpg","Magic Silk\B420&B421BackBLK.jpg"
MSB420-BLK-S,Lingerie,MSB420,2,"Magic Silk\B420BLK.jpg","Magic Silk\B420&B421BackBLK.jpg"
MSB420-BLK-XL,Lingerie,MSB420,2,"Magic Silk\B420BLK.jpg","Magic Silk\B420&B421BackBLK.jpg"
MSB420-PUR-XL,Lingerie,MSB420,1,"Male_Power\B420PPL"
MSB421-WHT-M,Lingerie,MSB421,4,"Magic Silk\B421WHT.jpg","Magic Silk\B421WHT_Back.jpg"
MSB421-BLK-L,"Bustiers & Corsets",MSB421-BLK-L,1,"Magic Silk\B421BLK.jpg","Magic Silk\B420&B421BackBLK.jpg"
