stock_code,parent_stock_type,parent_stock_code,stock_available
MP103204-BLK-L/XL,Loungewear,MP103204,1,"Male_Power\103204BK.jpg","Male_Power\103204BK_Back.jpg"
MP11111C-BLK-S/M,Loungewear,MP11111C,3,"Male_Power\11111CBK.jpg","Male_Power\11111CBK_Back.jpg"
MP11111C-BLK-L/XL,Loungewear,MP11111C,4,"Male_Power\11111CBK.jpg","Male_Power\11111CBK_Back.jpg"
MP112233-BLK-L,Loungewear,MP112233,5,"Male_Power\112233BK.jpg","Male_Power\112233BK_Back.jpg"
MP112233-BLK-M,Loungewear,MP112233,5,"Male_Power\112233BK.jpg","Male_Power\112233BK_Back.jpg"
MP112233-BLK-S,Loungewear,MP112233,2,"Male_Power\112233BK.jpg","Male_Power\112233BK_Back.jpg"
MP112233-BLK-XL,Loungewear,MP112233,2,"Male_Power\112233BK.jpg","Male_Power\112233BK_Back.jpg"
MP113240-PRNT-S,Loungewear,MP113240,3,"Male_Power\113240PR.jpg","Male_Power\113240PR_Back.jpg"
MP113240-PRNT-L,Loungewear,MP113240,6,"Male_Power\113240PR.jpg","Male_Power\113240PR_Back.jpg"
MP113240-PRNT-XL,Loungewear,MP113240,7,"Male_Power\113240PR.jpg","Male_Power\113240PR_Back.jpg"
MP129236-RED-L,Shorts,MP129236,0,"Male_Power\129236RE.jpg","Male_Power\129236RE_Back.jpg"
MP129236-RED-M,Shorts,MP129236,3,"Male_Power\129236RE.jpg","Male_Power\129236RE_Back.jpg"
MP129236-RED-S,Shorts,MP129236,3,"Male_Power\129236RE.jpg","Male_Power\129236RE_Back.jpg"
MP129236-RED-XL,Shorts,MP129236,2,"Male_Power\129236RE.jpg","Male_Power\129236RE_Back.jpg"
MP130234-BLK/WHT-L,Shorts,MP130234,4,"Male_Power\130234WB.jpg","Male_Power\130234WB_Back.jpg"
MP130234-BLK/WHT-M,Shorts,MP130234,3,"Male_Power\130234WB.jpg","Male_Power\130234WB_Back.jpg"
MP130234-BLK/WHT-S,Shorts,MP130234,4,"Male_Power\130234WB.jpg","Male_Power\130234WB_Back.jpg"
MP130234-BLK/WHT-XL,Shorts,MP130234,3,"Male_Power\130234WB.jpg","Male_Power\130234WB_Back.jpg"
MP130234-SEA/BLK-L,Shorts,MP130234,5,"Male_Power\130234SB.jpg","Male_Power\130234SB_Back.jpg"
MP130234-SEA/BLK-XL,Shorts,MP130234,3,"Male_Power\130234SB.jpg","Male_Power\130234SB_Back.jpg"
MP130234-SEA/BLK-M,Shorts,MP130234,3,"Male_Power\130234SB.jpg","Male_Power\130234SB_Back.jpg"
MP131233-BLK-L,Shorts,MP131233,2,"Male_Power\131233BK.jpg","Male_Power\131233BK_Back.jpg"
MP131233-BLK-XL,Shorts,MP131233,6,"Male_Power\131233BK.jpg","Male_Power\131233BK_Back.jpg"
MP131233-BLK-M,Shorts,MP131233,3,"Male_Power\131233BK.jpg","Male_Power\131233BK_Back.jpg"
MP132235-BLK-L,Shorts,MP132235,1,"Male_Power\132235BK.jpg","Male_Power\132235BK_Back.jpg"
MP132235-NVY-L,Shorts,MP132235,2,"Male_Power\132235NV.jpg","Male_Power\132235NV_Back.jpg"
