stock_code,parent_stock_type,parent_stock_code,stock_available
ADORE-708BR-C/R-B-10,Sandal,ADORE-708BR-C/R-B-10,0,"Pleaser\adore-708br-crb.jpg"
ADORE-708BR-C/R-B-5,Sandal,ADORE-708BR-C/R-B-5,0,"Pleaser\adore-708br-crb.jpg"
ADORE-708BR-C/R-B-6,Sandal,ADORE-708BR-C/R-B-6,0,"Pleaser\adore-708br-crb.jpg"
ADORE-708BR-C/R-B-7,Sandal,ADORE-708BR-C/R-B-7,0,"Pleaser\adore-708br-crb.jpg"
ADORE-708BR-C/R-B-8,Sandal,ADORE-708BR-C/R-B-8,0,"Pleaser\adore-708br-crb.jpg"
ADORE-708BR-C/R-B-9,Sandal,ADORE-708BR-C/R-B-9,0,"Pleaser\adore-708br-crb.jpg"
ADORE-708BR-H-C/B-R-10,Sandal,ADORE-708BR-H-C/B-R-10,0,"Pleaser\adore-708br-h-cbr.jpg"
ADORE-708BR-H-C/B-R-5,Sandal,ADORE-708BR-H-C/B-R-5,0,"Pleaser\adore-708br-h-cbr.jpg"
ADORE-708BR-H-C/B-R-6,Sandal,ADORE-708BR-H-C/B-R-6,0,"Pleaser\adore-708br-h-cbr.jpg"
ADORE-708BR-H-C/B-R-7,Sandal,ADORE-708BR-H-C/B-R-7,0,"Pleaser\adore-708br-h-cbr.jpg"
ADORE-708BR-H-C/B-R-8,Sandal,ADORE-708BR-H-C/B-R-8,0,"Pleaser\adore-708br-h-cbr.jpg"
ADORE-708BR-H-C/B-R-9,Sandal,ADORE-708BR-H-C/B-R-9,0,"Pleaser\adore-708br-h-cbr.jpg"
ADORE-708BR-H-C/B-R-11,Sandal,ADORE-708BR-H,0
ADORE-708CF-C/PN-10,Sandal,ADORE-708CF-C/PN-10,0,"Pleaser\adore-708cf-cpn.jpg"
ADORE-708CF-C/PN-5,Sandal,ADORE-708CF-C/PN-5,0,"Pleaser\adore-708cf-cpn.jpg"
ADORE-708CF-C/PN-6,Sandal,ADORE-708CF-C/PN-6,0,"Pleaser\adore-708cf-cpn.jpg"
ADORE-708CF-C/PN-7,Sandal,ADORE-708CF-C/PN-7,0,"Pleaser\adore-708cf-cpn.jpg"
ADORE-708CF-C/PN-8,Sandal,ADORE-708CF-C/PN-8,0,"Pleaser\adore-708cf-cpn.jpg"
ADORE-708CF-C/PN-9,Sandal,ADORE-708CF-C/PN-9,0,"Pleaser\adore-708cf-cpn.jpg"
ADORE-708CG-C/PNG-10,Sandal,ADORE-708CG-C/PNG-10,0,"Pleaser\adore-708cg-cpng.jpg"
ADORE-708CG-C/PNG-11,Sandal,ADORE-708CG-C/PNG-11,0,"Pleaser\adore-708cg-cpng.jpg"
ADORE-708CG-C/PNG-5,Sandal,ADORE-708CG-C/PNG-5,0,"Pleaser\adore-708cg-cpng.jpg"
ADORE-708CG-C/PNG-6,Sandal,ADORE-708CG-C/PNG-6,0,"Pleaser\adore-708cg-cpng.jpg"
ADORE-708CG-C/PNG-7,Sandal,ADORE-708CG-C/PNG-7,0,"Pleaser\adore-708cg-cpng.jpg"
ADORE-708CG-C/PNG-8,Sandal,ADORE-708CG-C/PNG-8,0,"Pleaser\adore-708cg-cpng.jpg"
ADORE-708CG-C/PNG-9,Sandal,ADORE-708CG-C/PNG-9,0,"Pleaser\adore-708cg-cpng.jpg"
ADORE-708CG-C/BG-10,Sandal,ADORE-708CG-C/BG-10,0,"Pleaser\adore-708cg-cbg.jpg"
ADORE-708CG-C/BG-11,Sandal,ADORE-708CG-C/BG-11,0,"Pleaser\adore-708cg-cbg.jpg"
ADORE-708CG-C/BG-5,Sandal,ADORE-708CG-C/BG-5,0,"Pleaser\adore-708cg-cbg.jpg"
ADORE-708CG-C/BG-6,Sandal,ADORE-708CG-C/BG-6,0,"Pleaser\adore-708cg-cbg.jpg"
ADORE-708CG-C/BG-7,Sandal,ADORE-708CG-C/BG-7,0,"Pleaser\adore-708cg-cbg.jpg"
ADORE-708CG-C/BG-8,Sandal,ADORE-708CG-C/BG-8,0,"Pleaser\adore-708cg-cbg.jpg"
ADORE-708CG-C/BG-9,Sandal,ADORE-708CG-C/BG-9,0,"Pleaser\adore-708cg-cbg.jpg"
ADORE-708CG-C/SG-10,Sandal,ADORE-708CG-C/SG-10,0,"Pleaser\adore-708cg-csg.jpg"
ADORE-708CG-C/SG-11,Sandal,ADORE-708CG-C/SG-11,0,"Pleaser\adore-708cg-csg.jpg"
ADORE-708CG-C/SG-5,Sandal,ADORE-708CG-C/SG-5,0,"Pleaser\adore-708cg-csg.jpg"
ADORE-708CG-C/SG-6,Sandal,ADORE-708CG-C/SG-6,0,"Pleaser\adore-708cg-csg.jpg"
ADORE-708CG-C/SG-7,Sandal,ADORE-708CG-C/SG-7,0,"Pleaser\adore-708cg-csg.jpg"
ADORE-708CG-C/SG-8,Sandal,ADORE-708CG-C/SG-8,0,"Pleaser\adore-708cg-csg.jpg"
ADORE-708CG-C/SG-9,Sandal,ADORE-708CG-C/SG-9,0,"Pleaser\adore-708cg-csg.jpg"
ADORE-708FL-C/R-10,Sandal,ADORE-708FL-C/R-10,0,"Pleaser\adore-708fl-cr.jpg"
ADORE-708FL-C/R-11,Sandal,ADORE-708FL-C/R-11,0,"Pleaser\adore-708fl-cr.jpg"
ADORE-708FL-C/R-12,Sandal,ADORE-708FL-C/R-12,0,"Pleaser\adore-708fl-cr.jpg"
ADORE-708FL-C/R-5,Sandal,ADORE-708FL-C/R-5,0,"Pleaser\adore-708fl-cr.jpg"
ADORE-708FL-C/R-6,Sandal,ADORE-708FL-C/R-6,0,"Pleaser\adore-708fl-cr.jpg"
ADORE-708FL-C/R-7,Sandal,ADORE-708FL-C/R-7,0,"Pleaser\adore-708fl-cr.jpg"
ADORE-708FL-C/R-8,Sandal,ADORE-708FL-C/R-8,0,"Pleaser\adore-708fl-cr.jpg"
ADORE-708FL-C/R-9,Sandal,ADORE-708FL-C/R-9,0,"Pleaser\adore-708fl-cr.jpg"
ADORE-708G-C/BG-10,Sandal,ADORE-708G-C/BG-10,0,"Pleaser\adore-708g-cbgi.jpg"
ADORE-708G-C/BG-11,Sandal,ADORE-708G-C/BG-11,0,"Pleaser\adore-708g-cbgi.jpg"
ADORE-708G-C/BG-5,Sandal,ADORE-708G-C/BG-5,0,"Pleaser\adore-708g-cbgi.jpg"
ADORE-708G-C/BG-6,Sandal,ADORE-708G-C/BG-6,0,"Pleaser\adore-708g-cbgi.jpg"
ADORE-708G-C/BG-7,Sandal,ADORE-708G-C/BG-7,0,"Pleaser\adore-708g-cbgi.jpg"
ADORE-708G-C/BG-8,Sandal,ADORE-708G-C/BG-8,0,"Pleaser\adore-708g-cbgi.jpg"
ADORE-708G-C/BG-9,Sandal,ADORE-708G-C/BG-9,0,"Pleaser\adore-708g-cbgi.jpg"
ADORE-708G-C/RG-10,Sandal,ADORE-708G-C/RG-10,0,"Pleaser\adore-708g-crgi.jpg"
ADORE-708G-C/RG-11,Sandal,ADORE-708G-C/RG-11,0,"Pleaser\adore-708g-crgi.jpg"
ADORE-708G-C/RG-5,Sandal,ADORE-708G-C/RG-5,0,"Pleaser\adore-708g-crgi.jpg"
ADORE-708G-C/RG-6,Sandal,ADORE-708G-C/RG-6,0,"Pleaser\adore-708g-crgi.jpg"
ADORE-708G-C/RG-7,Sandal,ADORE-708G-C/RG-7,0,"Pleaser\adore-708g-crgi.jpg"
ADORE-708G-C/RG-8,Sandal,ADORE-708G-C/RG-8,0,"Pleaser\adore-708g-crgi.jpg"
ADORE-708G-C/RG-9,Sandal,ADORE-708G-C/RG-9,0,"Pleaser\adore-708g-crgi.jpg"
ADORE-708G-C/ROGLDG-10,Sandal,ADORE-708G-C/ROGLDG-10,0,"Pleaser\adore-708g-crogldg.jpg"
ADORE-708G-C/ROGLDG-11,Sandal,ADORE-708G-C/ROGLDG-11,0,"Pleaser\adore-708g-crogldg.jpg"
ADORE-708G-C/ROGLDG-5,Sandal,ADORE-708G-C/ROGLDG-5,0,"Pleaser\adore-708g-crogldg.jpg"
ADORE-708G-C/ROGLDG-6,Sandal,ADORE-708G-C/ROGLDG-6,0,"Pleaser\adore-708g-crogldg.jpg"
ADORE-708G-C/ROGLDG-7,Sandal,ADORE-708G-C/ROGLDG-7,1,"Pleaser\adore-708g-crogldg.jpg"
ADORE-708G-C/ROGLDG-8,Sandal,ADORE-708G-C/ROGLDG-8,0,"Pleaser\adore-708g-crogldg.jpg"
ADORE-708G-C/ROGLDG-9,Sandal,ADORE-708G-C/ROGLDG-9,0,"Pleaser\adore-708g-crogldg.jpg"
ADORE-708G-C/SG-10,Sandal,ADORE-708G-C/SG-10,0,"Pleaser\adore-708g-csgi.jpg"
ADORE-708G-C/SG-11,Sandal,ADORE-708G-C/SG-11,0,"Pleaser\adore-708g-csgi.jpg"
ADORE-708G-C/SG-5,Sandal,ADORE-708G-C/SG-5,0,"Pleaser\adore-708g-csgi.jpg"
ADORE-708G-C/SG-6,Sandal,ADORE-708G-C/SG-6,0,"Pleaser\adore-708g-csgi.jpg"
ADORE-708G-C/SG-7,Sandal,ADORE-708G-C/SG-7,0,"Pleaser\adore-708g-csgi.jpg"
ADORE-708G-C/SG-8,Sandal,ADORE-708G-C/SG-8,0,"Pleaser\adore-708g-csgi.jpg"
ADORE-708G-C/SG-9,Sandal,ADORE-708G-C/SG-9,0,"Pleaser\adore-708g-csgi.jpg"
ADORE-708GXY-C/NGXY-10,Sandal,ADORE-708GXY-C/NGXY-10,0,"Pleaser\adore-708gxy-cngxy.jpg"
ADORE-708GXY-C/NGXY-11,Sandal,ADORE-708GXY-C/NGXY-11,0,"Pleaser\adore-708gxy-cngxy.jpg"
ADORE-708GXY-C/NGXY-12,Sandal,ADORE-708GXY-C/NGXY-12,0,"Pleaser\adore-708gxy-cngxy.jpg"
ADORE-708GXY-C/NGXY-5,Sandal,ADORE-708GXY-C/NGXY-5,0,"Pleaser\adore-708gxy-cngxy.jpg"
ADORE-708GXY-C/NGXY-6,Sandal,ADORE-708GXY-C/NGXY-6,0,"Pleaser\adore-708gxy-cngxy.jpg"
ADORE-708GXY-C/NGXY-7,Sandal,ADORE-708GXY-C/NGXY-7,0,"Pleaser\adore-708gxy-cngxy.jpg"
ADORE-708GXY-C/NGXY-8,Sandal,ADORE-708GXY-C/NGXY-8,0,"Pleaser\adore-708gxy-cngxy.jpg"
ADORE-708GXY-C/NGXY-9,Sandal,ADORE-708GXY-C/NGXY-9,0,"Pleaser\adore-708gxy-cngxy.jpg"
ADORE-1008SQ-GLD-10,Boots,ADORE-1008SQ,0,"Pleaser\adore-1008sq-gch.jpg"
ADORE-1008SQ-GLD-11,Boots,ADORE-1008SQ,0,"Pleaser\adore-1008sq-gch.jpg"
ADORE-1008SQ-GLD-5,Boots,ADORE-1008SQ,0,"Pleaser\adore-1008sq-gch.jpg"
ADORE-1008SQ-GLD-6,Boots,ADORE-1008SQ,0,"Pleaser\adore-1008sq-gch.jpg"
ADORE-1008SQ-GLD-7,Boots,ADORE-1008SQ,2,"Pleaser\adore-1008sq-gch.jpg"
ADORE-1008SQ-GLD-8,Boots,ADORE-1008SQ,0,"Pleaser\adore-1008sq-gch.jpg"
ADORE-1008SQ-GLD-9,Boots,ADORE-1008SQ,0,"Pleaser\adore-1008sq-gch.jpg"
ADORE-1008SQ-B/PWCH-10,Boots,ADORE-1008SQ,0,"Pleaser\adore-1008sq-b.jpg"
ADORE-1008SQ-B/PWCH-11,Boots,ADORE-1008SQ,0,"Pleaser\adore-1008sq-b.jpg"
ADORE-1008SQ-B/PWCH-5,Boots,ADORE-1008SQ,0,"Pleaser\adore-1008sq-b.jpg"
ADORE-1008SQ-B/PWCH-6,Boots,ADORE-1008SQ,0,"Pleaser\adore-1008sq-b.jpg"
ADORE-1008SQ-B/PWCH-7,Boots,ADORE-1008SQ,0,"Pleaser\adore-1008sq-b.jpg"
ADORE-1008SQ-B/PWCH-8,Boots,ADORE-1008SQ,0,"Pleaser\adore-1008sq-b.jpg"
ADORE-1008SQ-B/PWCH-9,Boots,ADORE-1008SQ,5,"Pleaser\adore-1008sq-b.jpg"
ADORE-1008SQ-SLV-10,Boots,ADORE-1008SQ,0,"Pleaser\adore-1008sq-sch.jpg"
ADORE-1008SQ-SLV-11,Boots,ADORE-1008SQ,0,"Pleaser\adore-1008sq-sch.jpg"
ADORE-1008SQ-SLV-5,Boots,ADORE-1008SQ,0,"Pleaser\adore-1008sq-sch.jpg"
ADORE-1008SQ-SLV-6,Boots,ADORE-1008SQ,0,"Pleaser\adore-1008sq-sch.jpg"
ADORE-1008SQ-SLV-7,Boots,ADORE-1008SQ,0,"Pleaser\adore-1008sq-sch.jpg"
ADORE-1008SQ-SLV-8,Boots,ADORE-1008SQ,0,"Pleaser\adore-1008sq-sch.jpg"
ADORE-1008SQ-SLV-9,Boots,ADORE-1008SQ,0,"Pleaser\adore-1008sq-sch.jpg"
ADORE-1016-WPU/M-10,Boots,ADORE-1016,0,"Pleaser\adore-1016-wpu.jpg"
ADORE-1016-WPU/M-11,Boots,ADORE-1016,0,"Pleaser\adore-1016-wpu.jpg"
ADORE-1016-WPU/M-5,Boots,ADORE-1016,0,"Pleaser\adore-1016-wpu.jpg"
ADORE-1016-WPU/M-6,Boots,ADORE-1016,0,"Pleaser\adore-1016-wpu.jpg"
ADORE-1016-WPU/M-7,Boots,ADORE-1016,0,"Pleaser\adore-1016-wpu.jpg"
ADORE-1016-WPU/M-8,Boots,ADORE-1016,0,"Pleaser\adore-1016-wpu.jpg"
ADORE-1016-WPU/M-9,Boots,ADORE-1016,0,"Pleaser\adore-1016-wpu.jpg"
ADORE-1016-BPU/M-10,Boots,ADORE-1016,0,"Pleaser\adore-1016-bpu.jpg"
ADORE-1016-BPU/M-11,Boots,ADORE-1016,0,"Pleaser\adore-1016-bpu.jpg"
ADORE-1016-BPU/M-5,Boots,ADORE-1016,0,"Pleaser\adore-1016-bpu.jpg"
ADORE-1016-BPU/M-6,Boots,ADORE-1016,0,"Pleaser\adore-1016-bpu.jpg"
ADORE-1016-BPU/M-7,Boots,ADORE-1016,0,"Pleaser\adore-1016-bpu.jpg"
ADORE-1016-BPU/M-8,Boots,ADORE-1016,0,"Pleaser\adore-1016-bpu.jpg"
ADORE-1016-BPU/M-9,Boots,ADORE-1016,0,"Pleaser\adore-1016-bpu.jpg"
ADORE-1017MFF-C-W/C-10,Boots,ADORE-1017MFF,0,"Pleaser\adore-1017mff-cwc.jpg"
ADORE-1017MFF-C-W/C-11,Boots,ADORE-1017MFF,0,"Pleaser\adore-1017mff-cwc.jpg"
ADORE-1017MFF-C-W/C-5,Boots,ADORE-1017MFF,0,"Pleaser\adore-1017mff-cwc.jpg"
ADORE-1017MFF-C-W/C-6,Boots,ADORE-1017MFF,0,"Pleaser\adore-1017mff-cwc.jpg"
ADORE-1017MFF-C-W/C-7,Boots,ADORE-1017MFF,0,"Pleaser\adore-1017mff-cwc.jpg"
ADORE-1017MFF-C-W/C-8,Boots,ADORE-1017MFF,0,"Pleaser\adore-1017mff-cwc.jpg"
ADORE-1017MFF-C-W/C-9,Boots,ADORE-1017MFF,0,"Pleaser\adore-1017mff-cwc.jpg"
ADORE-1017RSF-C-G/GCH-10,Boots,ADORE-1017RSF,0,"Pleaser\adore-1017rsf-cgch.jpg"
ADORE-1017RSF-C-G/GCH-11,Boots,ADORE-1017RSF,0,"Pleaser\adore-1017rsf-cgch.jpg"
ADORE-1017RSF-C-G/GCH-5,Boots,ADORE-1017RSF,0,"Pleaser\adore-1017rsf-cgch.jpg"
ADORE-1017RSF-C-G/GCH-6,Boots,ADORE-1017RSF,0,"Pleaser\adore-1017rsf-cgch.jpg"
ADORE-1017RSF-C-G/GCH-7,Boots,ADORE-1017RSF,0,"Pleaser\adore-1017rsf-cgch.jpg"
ADORE-1017RSF-C-G/GCH-8,Boots,ADORE-1017RSF,0,"Pleaser\adore-1017rsf-cgch.jpg"
ADORE-1017RSF-C-G/GCH-9,Boots,ADORE-1017RSF,0,"Pleaser\adore-1017rsf-cgch.jpg"
