stock_code,parent_stock_type,parent_stock_code,stock_available
RR11013,"Bedroom Costume",RR11013,0,"Rene\11013-RED.jpg"
RR51008X-BLK-1X/2X,Chemise,RR51008X,0,"Rene\51008-BLK--Deconstruct-Me-2pc-Chemise-Set-0445.jpg","Rene\51008-BLK--Deconstruct-Me-2pc-Chemise-Set-0473.jpg"
RR51008X-BLK-3X/4X,Chemise,RR51008X,0,"Rene\51008-BLK--Deconstruct-Me-2pc-Chemise-Set-0445.jpg","Rene\51008-BLK--Deconstruct-Me-2pc-Chemise-Set-0473.jpg"
RR6026,"Thigh High",RR6026,0,"Rene\6026-BLK front.jpg"
RR8013,"Thigh High",RR8013,2,"Rene\8013-BLK.jpg"
RR8019-BLK,"Thigh High",RR8019,3,"Rene\8019-BLK.jpg"
RR8019-RED,"Thigh High",RR8019,8,"Rene\8019-RED.jpg","Rene\8019-RED-B.jpg"
RR8019-WHT,"Thigh High",RR8019,4,"Rene\8019-WHT.jpg","Rene\8019-WHT-B.jpg"
RR8020,"Thigh High",RR8020,208,"Rene\8020-BLK-front.jpg"
RR8021,"Thigh High",RR8021,0,"Rene\8021-BLK-rear.jpg"
RR8022,"Thigh High",RR8022,0,"Rene\8022-BLK OS.jpg"
RR8023,"Thigh High",RR8023,10,"Rene\8023-BLK rear.jpg"
RR8024,"Thigh High",RR8024,15,"Rene\8024-NDE-B.jpg","Rene\8024-NDE.jpg"
RR9018,Pantyhose,RR9018,1,"Rene\9018-BLK rear.jpg"
RR1001-GRY-S,Skirt,RR1001,2,"Rene\1001-GRY","Rene\1001-GRY-B.jpg"
RR1001-BLU-XL,Skirt,RR1001,2,"Rene\1001-BLU front","Rene\1001-BLU-B.jpg"
RR1001-PNK-L,Skirt,RR1001,2,"Rene\1001-PNK front"
RR1001-PNK-M,Skirt,RR1001,1,"Rene\1001-PNK front"
RR1001-PNK-S,Skirt,RR1001,2,"Rene\1001-PNK front"
RR1001-PNK-XL,Skirt,RR1001,0,"Rene\1001-RED front"
RR1001-RED-L,Skirt,RR1001,5,"Rene\1001-RED front","Rene\1001-RED rear.jpg"
RR1001-RED-M,Skirt,RR1001,2,"Rene\1001-RED front","Rene\1001-RED rear.jpg"
RR1001-RED-S,Skirt,RR1001,1,"Rene\1001-RED front","Rene\1001-RED rear.jpg"
RR1001-RED-XL,Skirt,RR1001,0,"Rene\1001-RED front","Rene\1001-RED rear.jpg"
RR1028-RED-M/L,Thong,RR1028,0,"Rene\1028-RED","Rene\1028-RED-B.jpg"
RR1028-RED-S/M,Thong,RR1028,0,"Rene\1028-RED","Rene\1028-RED-B.jpg"
RR1028-BLK-M/L,Thong,RR1028,0,"Rene\1028-front-3","Rene\1028-rear-1.jpg"
RR1028-BLK-S/M,Thong,RR1028,4,"Rene\1028-front-3","Rene\1028-rear-1.jpg"
RR1028X-RED-1X/2X,Thong,RR1028X,0,"Rene\1028X-RED-8739.jpg","Rene\1028X-RED-8769.jpg"
RR1028X-RED-3X/4X,Thong,RR1028X,0,"Rene\1028X-RED-8739.jpg","Rene\1028X-RED-8769.jpg"
RR1028X-BLK-3X/4X,Thong,RR1028X,3,"Rene\1028X-BLK-8794.jpg","Rene\1028X-BLK-8814.jpg"
RR1028X-BLK-1X/2X,Thong,RR1028X,1,"Rene\1028X-BLK-8794.jpg","Rene\1028X-BLK-8814.jpg"
RR1030-BLK-M/L,Garterbelt,RR1030,32,"Rene\1030-BLK-front-3","Rene\1030-BLK-rear-2.jpg"
RR1030-BLK-S/M,Garterbelt,RR1030,24,"Rene\1030-BLK-front-3","Rene\1030-BLK-rear-2.jpg"
RR1031-BLK-M/L,Boyshort,RR1031,0,"Rene\1031-BLK-front-1","Rene\1031-BLK-rear-2.jpg"
RR1031-BLK-S/M,Boyshort,RR1031,143,"Rene\1031-BLK-front-1","Rene\1031-BLK-rear-2.jpg"
RR1032-BLK-M/L,Boyshort,RR1032,2,"Rene\1032-front-2","Rene\1032-rear.jpg"
RR1032-BLK-S/M,Boyshort,RR1032,1,"Rene\1032-front-2","Rene\1032-rear.jpg"
RR1036-BLK-M/L,Thong,RR1036,116,"Rene\1036-BLK-front-1","Rene\1036-BLK-rear-1.jpg"
RR1036-BLK-S/M,Thong,RR1036,123,"Rene\1036-BLK-front-1","Rene\1036-BLK-rear-1.jpg"
RR1036-RED-M/L,Thong,RR1036,1,"Rene\1036-RED","Rene\1036-RED-B.jpg"
RR1036-RED-S/M,Thong,RR1036,0,"Rene\1036-RED","Rene\1036-RED-B.jpg"
RR1036X-BLK-1X/2X,Thong,RR1036X,3,"Rene\1036X-BLK-8885"
RR1036X-BLK-3X/4X,Thong,RR1036X,4,"Rene\1036X-BLK-8885"
RR1036X-RED-1X/2X,Thong,RR1036X,2,"Rene\1036X-RED-8929","Rene\1036X-RED-8956.jpg"
RR1036X-RED-3X/4X,Thong,RR1036X,2,"Rene\1036X-RED-8929","Rene\1036X-RED-8956.jpg"
RR1037-BLK-M/L,Thong,RR1037,1,"Rene\1037-BLK-front-1","Rene\1037-BLK-rear.jpg"
RR1037-BLK-S/M,Thong,RR1037,1,"Rene\1037-BLK-front-1","Rene\1037-BLK-rear.jpg"
RR1037-FPUR-M/L,Thong,RR1037,9,"Rene\1037-PUR-front-2","Rene\1037-PUR-rear-2.jpg"
RR1037-FPUR-S/M,Thong,RR1037,2,"Rene\1037-PUR-front-2","Rene\1037-PUR-rear-2.jpg"
RR1037-RED-S/M,Thong,RR1037,3,"Rene\1037-REDB-B"
RR1037-RED-M/L,Thong,RR1037,2,"Rene\1037-REDB-B"
RR1037X-RED-1X/2X,Thong,RR1037X,1,"Rene\1037X-REDB-9007","Rene\1037X-REDB-9020.jpg"
RR1044-BLK-S/M,Panty,RR1044,15,"Rene\1044-BLK-front","Rene\1044-BLK-rear.jpg"
RR1046-RED-M/L,Panty,RR1046,0,"Rene\1046-RED","Rene\1046-RED-B.jpg"
RR1046-RED-S/M,Panty,RR1046,1,"Rene\1046-RED","Rene\1046-RED-B.jpg"
RR1046-PNK-M/L,Panty,RR1046,0,"Rene\1046-front","Rene\1046-rear.jpg"
RR1046-PNK-S/M,Panty,RR1046,0,"Rene\1046-front","Rene\1046-rear.jpg"
