stock_code,parent_stock_type,parent_stock_code,stock_available
STM10501P-RED-OS,Merrywidow,STM10501P,6,"STM\10501P_RED_F"
STM10501P-BLK-OS,Merrywidow,STM10501P,12,"STM\10501P_BLACK_F"
STM10501P-WHT-OS,Merrywidow,STM10501P-WHT-OS,25,"STM\10501P_White_F"
STM10501P-WNE-OS,Merrywidow,STM10501P,44,"STM\10501P_WINE_F"
STM10501XP-BLK-QS,Merrywidow,STM10501XP,0,"STM\10501XP_BLACK_F"
STM10501XP-RED-QS,Merrywidow,STM10501XP,1,"STM\10501XP_RED_F"
STM10501XP-WHT-QS,Merrywidow,STM10501XP,47,"STM\10501XP_White_F"
STM10501XP-WNE-QS,Merrywidow,STM10501XP,40,"STM\10501XP_WINE_F"
STM10513-BLK-S,Knicker,STM10513,120,"STM\10513_BLACK_F.jpg","STM\10513_BLACK_B.jpg"
STM10513-BLK-M,Knicker,STM10513,425,"STM\10513_BLACK_F.jpg","STM\10513_BLACK_B.jpg"
STM10513-BLK-L,Knicker,STM10513,107,"STM\10513_BLACK_F.jpg","STM\10513_BLACK_B.jpg"
STM10513-BLK-XL,Knicker,STM10513,385,"STM\10513_BLACK_F.jpg","STM\10513_BLACK_B.jpg"
STM10513-PNK-S,Knicker,STM10513,374,"STM\10513_HOTPINK_F.jpg","STM\10513_HOTPINK_B.jpg"
STM10513-PNK-M,Knicker,STM10513,358,"STM\10513_HOTPINK_F.jpg","STM\10513_HOTPINK_B.jpg"
STM10513-PNK-L,Knicker,STM10513,396,"STM\10513_HOTPINK_F.jpg","STM\10513_HOTPINK_B.jpg"
STM10513-PNK-XL,Knicker,STM10513,436,"STM\10513_HOTPINK_F.jpg","STM\10513_HOTPINK_B.jpg"
STM10513-PUR-S,Knicker,STM10513,13,"STM\10513_PURPLE_F.jpg","STM\10513_PURPLE_B.jpg"
STM10513-PUR-M,Knicker,STM10513,40,"STM\10513_PURPLE_F.jpg","STM\10513_PURPLE_B.jpg"
STM10513-PUR-L,Knicker,STM10513,23,"STM\10513_PURPLE_F.jpg","STM\10513_PURPLE_B.jpg"
STM10513-PUR-XL,Knicker,STM10513,37,"STM\10513_PURPLE_F.jpg","STM\10513_PURPLE_B.jpg"
STM10513-RED-S,Knicker,STM10513,0,"STM\10513_RED_F.jpg","STM\10513_RED_B.jpg"
STM10513-RED-M,Knicker,STM10513,12,"STM\10513_RED_F.jpg","STM\10513_RED_B.jpg"
STM10513-RED-L,Knicker,STM10513,0,"STM\10513_RED_F.jpg","STM\10513_RED_B.jpg"
STM10513-RED-XL,Knicker,STM10513,44,"STM\10513_RED_F.jpg","STM\10513_RED_B.jpg"
STM10513-TUR-S,Knicker,STM10513,0,"STM\10513_TURQ_F.jpg","STM\10513_TURQ_B.jpg"
STM10513-TUR-M,Knicker,STM10513,0,"STM\10513_TURQ_F.jpg","STM\10513_TURQ_B.jpg"
