stock_code,parent_stock_type,parent_stock_code,stock_available
FV20136,Wig,FV20136,0,"Fever\20136.jpg"
FV20549-GLD-S,"Fancy Dress",FV20549,0,"Fever\20549.jpg"
FV20549-GLD-M,"Fancy Dress",FV20549,0,"Fever\20549.jpg"
FV20561-CRM-L,"Fancy Dress",FV20561,0,"Fever\20561.jpg"
FV20561-CRM-S,"Fancy Dress",FV20561,0,"Fever\20561.jpg"
FV20561-CRM-M,"Fancy Dress",FV20561,0,"Fever\20561.jpg"
FV20770-RED-L,"Fancy Dress",FV20770,0,"Fever\20770.jpg"
FV20770-RED-S,"Fancy Dress",FV20770,0,"Fever\20770.jpg"
FV20770-RED-M,"Fancy Dress",FV20770,0,"Fever\20770.jpg"
FV20791,Dress,FV20791,0,"Fever\20791.jpg"
FV20853,Bodystocking,FV20853,0,"Fever\20853_A1.jpg"
FV20855,Bodystocking,FV20855,0,"Fever\20855_A1.jpg"
FV21010-RED-S,"Fancy Dress",FV21010,0,"Fever\21010.jpg"
FV21096,Dress,FV21096,0,"Fever\21096_A1.jpg"
FV21112,Eyelash,FV21112,0,"Fever\21112.jpg"
FV21120,Eyelash,FV21120,0,"Fever\21120.jpg"
FV21192,Headband,FV21192,0,"Fever\21192.jpg"
FV21194,Headband,FV21194,0,"Fever\21194.jpg"
FV21203,Eyelash,FV21203,0,"Fever\21203_A1.jpg"
FV21296,Headband,FV21296,0,"Fever\21296.jpg"
FV21298,Headband,FV21298,0,"Fever\21298.jpg"
FV21299,Headband,FV21299,0,"Fever\21299.jpg"
FV21418-BLK-S,"Bedroom Costume",FV21418,0,"Fever\21418.jpg"
FV21418-BLK-M,"Bedroom Costume",FV21418,0,"Fever\21418.jpg"
FV21418-BLK-L,"Bedroom Costume",FV21418,0,"Fever\21418.jpg"
FV21428,Hold-Ups,FV21428,25,"Fever\21428.jpg"
FV21429,Hold-Ups,FV21429,0,"Fever\21429_A1.jpg"
FV21430,Hold-Ups,FV21430,11,"Fever\21430_A1.jpg"
FV21431,Hold-Ups,FV21431,0,"Fever\21431_A1.jpg"
FV22016-WHT-S,"Bedroom Costume",FV22016,0,"Fever\22016.jpg"
FV22016-WHT-L,"Bedroom Costume",FV22016,0,"Fever\22016.jpg"
FV22016-WHT-XS,"Bedroom Costume",FV22016,0,"Fever\22016.jpg"
FV22016-WHT-M,"Bedroom Costume",FV22016,0,"Fever\22016.jpg"
FV22097,Tutu/Peticoat,FV22097,0,"Fever\22097.jpg"
FV22546,Gloves,FV22546,0,"Fever\22546.jpg"
FV22549,Gloves,FV22549,0,"Fever\22549.jpg"
FV22550,Gloves,FV22550,5,"Fever\22550.jpg"
FV22619,Tutu/Peticoat,FV22619,0,"Fever\22619.jpg"
FV22789-PNK-S,"Fancy Dress",FV22789,0,"Fever\22789.jpg"
FV22790-WHT-M,"Fancy Dress",FV22790,0,"Fever\22790.jpg"
FV22790-WHT-S,"Fancy Dress",FV22790,0,"Fever\22790.jpg"
FV22790-WHT-L,"Fancy Dress",FV22790,0,"Fever\22790.jpg"
FV22795-BRN-M,"Fancy Dress",FV22795,0,"Fever\22795.jpg"
FV22795-BRN-XS,"Fancy Dress",FV22795,0,"Fever\22795.jpg"
FV22795-BRN-S,"Fancy Dress",FV22795,0,"Fever\22795.jpg"
FV22795-BRN-L,"Fancy Dress",FV22795,0,"Fever\22795.jpg"
FV22797-BLK/WHT-M,"Fancy Dress",FV22797,0,"Fever\22797.jpg"
FV22797-BLK/WHT-S,"Fancy Dress",FV22797,0,"Fever\22797.jpg"
FV22817-WHT-L,"Fancy Dress",FV22817,0,"Fever\22817.jpg"
FV22824-BLK-M,"Fancy Dress",FV22824,0,"Fever\22824.jpg"
FV22824-BLK-L,"Fancy Dress",FV22824,0,"Fever\22824.jpg"
FV22824-BLK-S,"Fancy Dress",FV22824,0,"Fever\22824.jpg"
FV22963,Gloves,FV22963,0,"Fever\22963.jpg"
FV23149,Socks,FV23149,0,"Fever\23149_A2.jpg"
FV23186,Eyelash,FV23186,0,"Fever\23186.jpg"
FV23214-BLK-M,"Fancy Dress",FV23214,0,"Fever\23214.jpg"
FV23214-BLK-S,"Fancy Dress",FV23214,0,"Fever\23214.jpg"
FV23368,Hotpants,FV23368,0,"Fever\23368.jpg"
FV24206,Hats,FV24206,0,"Fever\24206.jpg"
FV24234,Eyelash,FV24234,0,"Fever\24234.jpg"
FV24253,Eyelash,FV24253,0,"Fever\24253.jpg"
FV24254,Eyelash,FV24254,0,"Fever\24254.jpg"
FV24255,Eyelash,FV24255,3,"Fever\24255.jpg"
FV24259,Eyelash,FV24259,0,"Fever\24259.jpg"
FV24286-BLK/WHT-M,"Fancy Dress",FV24286,0,"Fever\24286.jpg"
FV24286-BLK/WHT-S,"Fancy Dress",FV24286,0,"Fever\24286.jpg"
FV24286-BLK/WHT-XS,"Fancy Dress",FV24286,0,"Fever\24286.jpg"
FV24540,Tights,FV24540,0,"Fever\24540_A2.jpg"
FV24549,Tights,FV24549,0,"Fever\24549.jpg"
FV24550,Hold-Ups,FV24550,25,"Fever\24550.jpg"
FV24551,Hold-Ups,FV24551,5,"Fever\24551_A1.jpg"
