stock_code,parent_stock_type,parent_stock_code,stock_available
TL9601-CAP-2X,Boyshort,TL9601,2,"Tia Lyn\9601-CAPR-F3"
TL9100-CAP-1X,Bra,TL9100,2,"Tia Lyn\9100-CAPR-F"
TL9100-CAP-2X,Bra,TL9100,2,"Tia Lyn\9100-CAPR-F"
TL9100-CAP-3X,Bra,TL9100,2,"Tia Lyn\9100-CAPR-F"
TL9100-BLK-L,Bra,TL9100,0
TL9104-BLK-1X,Bra,TL9104,1,"Tia Lyn\9104-BLAC-F"
TL9104-BLK-L,Bra,TL9104,1,"Tia Lyn\9104-BLAC-F"
TL9401-CAP-1X,Chemise,TL9401,2,"Tia Lyn\9401-CAPR-F"
TL9401-CAP-2X,Chemise,TL9401,2,"Tia Lyn\9401-CAPR-F"
TL9401-CAP-3X,Chemise,TL9401,2,"Tia Lyn\9401-CAPR-F"
TL9401-MOC-1X,Chemise,TL9401,1,"Tia Lyn\9401-MOCH-F"
TL9401-MOC-2X,Chemise,TL9401,1,"Tia Lyn\9401-MOCH-F"
TL9401-MOC-3X,Chemise,TL9401,1,"Tia Lyn\9401-MOCH-F"
TL9401-MOC-L,Chemise,TL9401,1,"Tia Lyn\9401-MOCH-F"
TL9401-CRIM-L,Chemise,TL9401,1,"Tia Lyn\9401-CRIM-F"
TL9403-MNT-2X,Chemise,TL9403,1,"Tia Lyn\9403-front"
TL9500-IVRY-1X,"Gowns & Robes",TL9500,2,"Tia Lyn\9500-IVOR-F"
TL9500-IVRY-2X,"Gowns & Robes",TL9500,2,"Tia Lyn\9500-IVOR-F"
TL9500-IVRY-3X,"Gowns & Robes",TL9500,2,"Tia Lyn\9500-IVOR-F"
TL9500-IVRY-L,"Gowns & Robes",TL9500,2,"Tia Lyn\9500-IVOR-F"
TL9500-BLK/IVY-1X,"Gowns & Robes",TL9500,1,"Tia Lyn\9500-BLAC-F"
TL9500-BLK/IVY-3X,"Gowns & Robes",TL9500,2,"Tia Lyn\9500-BLAC-F"
TL9500-BLK/IVY-L,"Gowns & Robes",TL9500,2,"Tia Lyn\9500-BLAC-F"
TL9503-BLK-1X,Dress,TL9503,2,"Tia Lyn\9503-BLAC-F"
TL9503-BLK-2X,Dress,TL9503,2,"Tia Lyn\9503-BLAC-F"
TL9503-BLK-3X,Dress,TL9503,2,"Tia Lyn\9503-BLAC-F"
TL9503-BLK-L,Dress,TL9503,2,"Tia Lyn\9503-BLAC-F"
TL9503-CRIM-1X,Dress,TL9503,2,"Tia Lyn\9503-CRIM-F"
TL9503-CRIM-2X,Dress,TL9503,2,"Tia Lyn\9503-CRIM-F"
TL9503-CRIM-3X,Dress,TL9503,2,"Tia Lyn\9503-CRIM-F"
TL9503-CRIM-L,Dress,TL9503,2,"Tia Lyn\9503-CRIM-F"
TL9505-IRIS-2X,Set,TL9505,1,"Tia Lyn\9505-IRIS-F"
TL9600-CRIM-S,Thong,TL9600,1,"Tia Lyn\9600-CRIM-F"
TL9601-CAP-1X,Boyshort,TL9601,2,"Tia Lyn\9601-CAPR-F2"
TL9601-CAP-3X,Boyshort,TL9601,2,"Tia Lyn\9601-CAPR-F4"
TL9601-CRIM-1X,Boyshort,TL9601,1,"Tia Lyn\9601-CRIM-F"
TL9601-CRIM-2X,Boyshort,TL9601,1,"Tia Lyn\9601-CRIM-F"
TL9601-CRIM-3X,Boyshort,TL9601,2,"Tia Lyn\9601-CRIM-F"
TL9601-MOC-1X,Boyshort,TL9601,2,"Tia Lyn\9601-MOCH-F"
TL9601-MOC-2X,Boyshort,TL9601,2,"Tia Lyn\9601-MOCH-F"
TL9601-MOC-3X,Boyshort,TL9601,2,"Tia Lyn\9601-MOCH-F"
TL9601-MOC-L,Boyshort,TL9601,2,"Tia Lyn\9601-MOCH-F"
TL9603-CAP-1X,Thong,TL9603,2,"Tia Lyn\9603-CAPRI-F"
