stock_code,description,parent_stock_type,parent_stock_code,stock_available
BLM002-BLK-SM,"Microfibre String Bikini / Black / Small/Medium",Bikini,BLM002,4,"Blueline\BLM002-BLK_01.jpg"
BLM003-NVY-SM,"Microfibre Trunk / Navy Blue / Small/Medium",Boxer,BLM003,5,"Blueline\BLM003-BLK_01.jpg"
BLM003-BLK/WHT-SM,"Microfibre Trunk / Black/White / Small/Medium",Boxer,BLM003,4,"Blueline\BLM003-BLK_WHT_01.jpg"
BLM006-BLK-LXL,"Microfibre Racerback V-Neck Tank / Black / Large/X-Large",Tops,BLM006,31,"Blueline\BLM006-BLK_01.jpg"
BLM006-BLK-SM,"Microfibre Racerback V-Neck Tank / Black / Small/Medium",Tops,BLM006,30,"Blueline\BLM006-BLK_01.jpg"
BLM006-BLK/WHT-LXL,"Microfibre Racerback V-Neck Tank / Black/White / Large/X-Large",Tops,BLM006,13,"Blueline\BLM006-BLK_WHT_01.jpg"
BLM006-BLK/WHT-SM,"Microfibre Racerback V-Neck Tank / Black/White / Small/Medium",Tops,BLM006,13,"Blueline\BLM006-BLK_WHT_01.jpg"
BLM007-BLK-SM,"Microfibre V-Neck Tee / Black / Small/Medium",Tops,BLM007,5,"Blueline\BLM007-BLK_01.jpg"
BLM011-BLK-LXL,"Mesh G-String / Black / Large/X-Large",G-String,BLM011,15,"Blueline\BLM011-BLK_01.jpg"
BLM011-BLK-SM,"Mesh G-String / Black / Small/Medium",G-String,BLM011,1,"Blueline\BLM011-BLK_01.jpg"
BLM011-LEO-LXL,"Mesh G-String / Leopard / Large/X-Large",G-String,BLM011,17,"Blueline\BLM011-LEO_01.jpg"
BLM011-LEO-SM,"Mesh G-String / Leopard / Small/Medium",G-String,BLM011,33,"Blueline\BLM011-LEO_01.jpg"
BLM011-GYCAM-SM,"Mesh G-String / Grey Camo / Small/Medium",G-String,BLM011,6,"Blueline\BLM011-GRCA_01.jpg"
BLM012-GYCAM-SM,"Microfibre Jock Strap / Grey Camo / Small/Medium",Jock,BLM012,1,"Blueline\BLM012-GRCA_01.jpg"
BLM013-BLK-LXL,"Mesh Bikini / Black / Large/X-Large",Bikini,BLM013,4,"Blueline\BLM013-BLK_01.jpg"
BLM013-BLK-SM,"Mesh Bikini / Black / Small/Medium",Bikini,BLM013,7,"Blueline\BLM013-BLK_01.jpg"
BLM016-BLK-SM,"Microfibre Thong / Black / Small/Medium",Thong,BLM016,0,"Blueline\BLM016-BLK_01.jpg"
BLM018-CAMO-LXL,"Mesh Racerback Tank  / Camouflage / Large/X-Large",Tops,BLM018,7,"Blueline\BLM018-CAM_01.jpg"
BLM018-CAMO-SM,"Mesh Racerback Tank  / Camouflage / Small/Medium",Tops,BLM018,9,"Blueline\BLM018-CAM_01.jpg"
BLM018-LEO-LXL,"Mesh Racerback Tank  / Leopard / Large/X-Large",Tops,BLM018,18,"Blueline\BLM018-LEO_01.jpg"
BLM018-LEO-SM,"Mesh Racerback Tank  / Leopard / Small/Medium",Tops,BLM018,17,"Blueline\BLM018-LEO_01.jpg"
BLM020-GYCAM-LXL,"Mesh V-Neck Tee  / Grey Camo / Large/X-Large",Tops,BLM020,6,"Blueline\BLM020-GRCA_01.jpg"
BLM020-GYCAM-SM,"Mesh V-Neck Tee  / Grey Camo / Small/Medium",Tops,BLM020,9,"Blueline\BLM020-GRCA_01.jpg"
BLM020-LEO-LXL,"Mesh V-Neck Tee  / Leopard / Large/X-Large",Tops,BLM020,12,"Blueline\BLM018-LEO_01.jpg"
BLM020-LEO-SM,"Mesh V-Neck Tee  / Leopard / Small/Medium",Tops,BLM020,16,"Blueline\BLM018-LEO_01.jpg"
