stock_code,description,parent_stock_type,parent_stock_code,stock_available
BEV017,,Brief,BEV017,0,"Envy\BEV017-003_01.jpg"
BEV032-RED-LXL,"Sequin Low-Rise Thong / Red / Large/X-Large",Thong,BEV032,76,"Envy\BEV032-RED_01.jpg"
BEV032-RED-ML,"Sequin Low-Rise Thong / Red / Medium/Large",Thong,BEV032,13,"Envy\BEV032-RED_01.jpg"
BEV032-RED-SM,"Sequin Low-Rise Thong / Red / Small/Medium",Thong,BEV032,20,"Envy\BEV032-RED_01.jpg"
BEV032-BLK-LXL,"Sequin Low-Rise Thong / Black / Large/X-Large",Thong,BEV032,22,"Envy\BEV032-BLK_01.jpg"
BEV032-BLK-ML,"Sequin Low-Rise Thong / Black / Medium/Large",Thong,BEV032,12,"Envy\BEV032-BLK_01.jpg"
BEV032-BLK-SM,"Sequin Low-Rise Thong / Black / Small/Medium",Thong,BEV032,11,"Envy\BEV032-BLK_01.jpg"
BEV035-PNK-LXL,"Break-a-way Thong / Pink / Large/X-Large",Thong,BEV035,9,"Envy\BEV035-PNK_01.jpg"
BEV035-GRN-ML,"Break-a-way Thong / Green / Medium/Large",Thong,BEV035,50,"Envy\BEV035-GRN_01.jpg"
BEV035-GRN-SM,"Break-a-way Thong / Green / Small/Medium",Thong,BEV035,56,"Envy\BEV035-GRN_01.jpg"
BEV062-PNK-ML,"Microfiber LowRise Zip Thong  / Pink / Medium/Large",Thong,BEV062,21,"Envy\E062-PNK_front.jpg"
BEV062-PNK-SM,"Microfiber LowRise Zip Thong  / Pink / Small/Medium",Thong,BEV062,17,"Envy\E062-PNK_front.jpg"
BEV063-WHT-LXL,"Seamless Trunk wLogo  / White / Large/X-Large",Trunk,BEV063,34,"Envy\E063-WHT_front.jpg"
BEV063-WHT-ML,"Seamless Trunk wLogo  / White / Medium/Large",Trunk,BEV063,29,"Envy\E063-WHT_front.jpg"
BEV063-WHT-SM,"Seamless Trunk wLogo  / White / Small/Medium",Trunk,BEV063,22,"Envy\E063-WHT_front.jpg"
BEV063-GRY/STRP-LXL,"Seamless Trunk w Logo  / Grey Stripes / Large/X-Large",Trunk,BEV063,40,"Envy\E063-STP_front.jpg"
BEV063-GRY/STRP-ML,"Seamless Trunk w Logo / Grey Stripes / Medium/Large",Trunk,BEV063,45,"Envy\E063-STP_front.jpg"
BEV063-GRY/STRP-SM,"Seamless Trunk w Logo  / Grey Stripes / Small/Medium",Trunk,BEV063,42,"Envy\E063-STP_front.jpg"
BEV-EC03-BLK-LXL,"Swat 2 Pc  / Black / Large/X-Large","Mens Dress Up",BEV-EC03,16,"Envy\EC03_front.jpg"
BEV-EC03-BLK-ML,"Swat 2 Pc  / Black / Medium/Large","Mens Dress Up",BEV-EC03,3,"Envy\EC03_front.jpg"
BEV-EC04-BLK-LXL,"Biker Bikini BottomCuff Hat 3 Pc  / Black / Large/X-Large","Mens Dress Up",BEV-EC04,27,"Envy\EC04_front.jpg"
BEV-EC04-BLK-ML,"Biker Bikini Bottom  Cuff Hat 3 Pc  / Black / Medium/Large","Mens Dress Up",BEV-EC04,21,"Envy\EC04_front.jpg"
BEV001-WHT-LXL,"Logo Elastic, Low-Rise Jock / White / Large/X-Large",Jock,BEV001,2,"Envy\BEV001-002_01.jpg"
BEV006-WHT-LXL,"Logo Elastic, Low-Rise Brief / White / Large/X-Large",Brief,BEV006,30,"Envy\BEV006-002_01.jpg"
BEV006-WHT-ML,"Logo Elastic, Low-Rise Brief / White / Medium/Large",Brief,BEV006,70,"Envy\BEV006-002_01.jpg"
BEV006-WHT-SM,"Logo Elastic, Low-Rise Brief / White / Small/Medium",Brief,BEV006,21,"Envy\BEV006-002_01.jpg"
BEV006-BLK-LXL,"Logo Elastic, Low-Rise Brief / Black / Large/X-Large",Brief,BEV006,11,"Envy\BEV006-003_01.jpg"
BEV006-BLK-ML,"Logo Elastic, Low-Rise Brief / Black / Medium/Large",Brief,BEV006,8,"Envy\BEV006-003_01.jpg"
BEV006-BLK-SM,"Logo Elastic, Low-Rise Brief / Black / Small/Medium",Brief,BEV006,11,"Envy\BEV006-003_01.jpg"
BEV010-BLK-ML,"Mesh Trunk / Black / Medium/Large",Trunk,BEV010,1,"Envy\BEV010-003_01.jpg"
BEV011-BLK-LXL,"Fishnet Sport Jock / Black / Large/X-Large",Jock,BEV011,47,"Envy\BEV011-003_01.jpg"
BEV012-CAMO-LXL,"Fishnet Sport Thong / Camouflage / Large/X-Large",Thong,BEV012,28,"Envy\BEV012-403_01.jpg"
BEV012-CAMO-ML,"Fishnet Sport Thong / Camouflage / Medium/Large",Thong,BEV012,22,"Envy\BEV012-403_01.jpg"
BEV012-CAMO-SM,"Fishnet Sport Thong / Camouflage / Small/Medium",Thong,BEV012,26,"Envy\BEV012-403_01.jpg"
BEV012-BLK-ML,"Fishnet Sport Thong / Black / Medium/Large",Thong,BEV012,15,"Envy\BEV012-003_01.jpg"
BEV014-BLK-SM,"Fishnet Sport Trunk / Black / Small/Medium",Trunk,BEV014,11,"Envy\BEV014-003_01.jpg"
BEV014-CAMO-LXL,"Fishnet Sport Trunk / Camouflage / Large/X-Large",Trunk,BEV014,24,"Envy\BEV014-403_01.jpg"
BEV015-CAMO-LXL,"Fishnet Sport Tank / Camouflage / Large/X-Large",Tank,BEV015,39,"Envy\BEV015-403_01.jpg"
BEV015-CAMO-ML,"Fishnet Sport Tank / Camouflage / Medium/Large",Tank,BEV015,43,"Envy\BEV015-403_01.jpg"
BEV015-CAMO-SM,"Fishnet Sport Tank / Camouflage / Small/Medium",Tank,BEV015,41,"Envy\BEV015-403_01.jpg"
BEV019-BLK-LXL,"Wetlook Athletic Trunk / Black / Large/X-Large",Trunk,BEV019,34,"Envy\BEV019-003_01.jpg"
BEV020-BLK-LXL,"Wetlook Athletic Tank / Black / Large/X-Large",Tank,BEV020,49,"Envy\BEV020-003_01.jpg"
BEV020-BLK-ML,"Wetlook Athletic Tank / Black / Medium/Large",Tank,BEV020,48,"Envy\BEV020-003_01.jpg"
BEV020-BLK-SM,"Wetlook Athletic Tank / Black / Small/Medium",Tank,BEV020,38,"Envy\BEV020-003_01.jpg"
BEV021-BLK-LXL,"Microfiber G-String / Black / Large/X-Large",G-String,BEV021,23,"Envy\BEV021-003_01.jpg"
BEV021-WHT-LXL,"Microfiber G-String / White / Large/X-Large",G-String,BEV021,9,"Envy\BEV021-002_01.jpg"
BEV021-WHT-ML,"Microfiber G-String / White / Medium/Large",G-String,BEV021,6,"Envy\BEV021-002_01.jpg"
BEV021-WHT-SM,"Microfiber G-String / White / Small/Medium",G-String,BEV021,4,"Envy\BEV021-002_01.jpg"
BEV023-WHT-LXL,"Microfiber Trunk / White / Large/X-Large",Trunk,BEV023,17,"Envy\BEV023-002_01.jpg"
BEV023-WHT-SM,"Microfiber Trunk / White / Small/Medium",Trunk,BEV023,25,"Envy\BEV023-002_01.jpg"
BEV024-BLK-LXL,"Microfiber Boxer / Black / Large/X-Large",Boxer,BEV024,4,"Envy\BEV024-003_01.jpg"
BEV024-BLK-SM,"Microfiber Boxer / Black / Small/Medium",Boxer,BEV024,9,"Envy\BEV024-003_01.jpg"
BEV024-WHT-LXL,"Microfiber Boxer / White / Large/X-Large",Boxer,BEV024,11,"Envy\BEV024-002_01.jpg"
BEV024-WHT-SM,"Microfiber Boxer / White / Small/Medium",Boxer,BEV024,29,"Envy\BEV024-002_01.jpg"
BEV024-BLK/WHT-LXL,"Microfiber Boxer / Black/White / Large/X-Large",Boxer,BEV024,42,"Envy\BEV024-013_01.jpg"
BEV024-BLK/WHT-ML,"Microfiber Boxer / Black/White / Medium/Large",Boxer,BEV024,35,"Envy\BEV024-013_01.jpg"
BEV024-BLK/WHT-SM,"Microfiber Boxer / Black/White / Small/Medium",Boxer,BEV024,40,"Envy\BEV024-013_01.jpg"
BEV025-WHT-LXL,"Logo Sport Trunk / White / Large/X-Large",Trunk,BEV025,37,"Envy\BEV025-WHT_01.jpg"
BEV025-WHT-ML,"Logo Sport Trunk / White / Medium/Large",Trunk,BEV025,26,"Envy\BEV025-WHT_01.jpg"
BEV025-WHT-SM,"Logo Sport Trunk / White / Small/Medium",Trunk,BEV025,32,"Envy\BEV025-WHT_01.jpg"
BEV026-BLU-LXL,"Logo Sport Trunk / Blue / Large/X-Large",Trunk,BEV026,35,"Envy\BEV026-BLU_01.jpg"
BEV026-BLU-ML,"Logo Sport Trunk / Blue / Medium/Large",Trunk,BEV026,26,"Envy\BEV026-BLU_01.jpg"
BEV026-BLU-SM,"Logo Sport Trunk / Blue / Small/Medium",Trunk,BEV026,34,"Envy\BEV026-BLU_01.jpg"
BEV027-BLK-ML,"Logo Sport Trunk / Black / Medium/Large",Trunk,BEV027,4,"Envy\BEV027-BLK_01.jpg"
"BEV028-GN MTL-LXL","Logo Sport Trunk / Gun Metal / Large/X-Large",Trunk,BEV028,36,"Envy\BEV028-GUN_01.jpg"
"BEV028-GN MTL-ML","Logo Sport Trunk / Gun Metal / Medium/Large",Trunk,BEV028,25,"Envy\BEV028-GUN_01.jpg"
"BEV028-GN MTL-SM","Logo Sport Trunk / Gun Metal / Small/Medium",Trunk,BEV028,32,"Envy\BEV028-GUN_01.jpg"
BEV031-BLK-SM,"Liquid Metal Low-rise Trunk / Black / Small/Medium",Trunk,BEV031,2,"Envy\BEV031-BLK_01.jpg"
BEV034-GRN-LXL,"Low-rise Thong / Green / Large/X-Large",Thong,BEV034,12,"Envy\BEV034-GRN_01.jpg"
BEV034-GRN-SM,"Low-rise Thong / Green / Small/Medium",Thong,BEV034,37,"Envy\BEV034-GRN_01.jpg"
BEV037-WHT-LXL,"Logo Elastic LowRise Mesh Brief  / White / Large/X-Large",Brief,BEV037,2,"Envy\BEV037-002_01.jpg"
BEV037-WHT-SM,"Logo Elastic LowRise Mesh Brief  / White / Small/Medium",Brief,BEV037,3,"Envy\BEV037-002_01.jpg"
BEV038-WHT-LXL,"Logo Elastic LowRise Mesh Trunk  / White / Large/X-Large",Trunk,BEV038,24,"Envy\BEV038-002_01.jpg"
BEV038-WHT-ML,"Logo Elastic LowRise Mesh Trunk  / White / Medium/Large",Trunk,BEV038,31,"Envy\BEV038-002_01.jpg"
BEV038-WHT-SM,"Logo Elastic LowRise Mesh Trunk  / White / Small/Medium",Trunk,BEV038,33,"Envy\BEV038-002_01.jpg"
BEV041-BLK-LXL,"Microfiber Boxer White Pinstripe  / Black / Large/X-Large",Boxer,BEV041,22,"Envy\BEV041-003_01.jpg"
BEV041-BLK-ML,"Microfiber Boxer White Pinstripe  / Black / Medium/Large",Boxer,BEV041,0,"Envy\BEV041-003_01.jpg"
BEV041-BLK-SM,"Microfiber Boxer White Pinstripe  / Black / Small/Medium",Boxer,BEV041,14,"Envy\BEV041-003_01.jpg"
BEV044-WHT-LXL,"Micro LowRise Logo Elastic Trunk  / White / Large/X-Large",Trunk,BEV044,12,"Envy\BEV044-002_01.jpg"
BEV044-WHT-ML,"Micro LowRise Logo Elastic Trunk  / White / Medium/Large",Trunk,BEV044,12,"Envy\BEV044-002_01.jpg"
BEV044-WHT-SM,"Micro LowRise Logo Elastic Trunk  / White / Small/Medium",Trunk,BEV044,16,"Envy\BEV044-002_01.jpg"
BEV045-BLK-LXL,"Micro LowRise Logo Elastic Boxer  / Black / Large/X-Large",Boxer,BEV045,34,"Envy\BEV045-003_01.jpg"
BEV045-BLK-ML,"Micro LowRise Logo Elastic Boxer  / Black / Medium/Large",Boxer,BEV045,27,"Envy\BEV045-003_01.jpg"
