stock_code,description,parent_stock_type,parent_stock_code,stock_available
MP103204-BLK-L/XL,"Tank Top - Black Large/X-Large",Loungewear,MP103204,1,"Male_Power\103204BK.jpg","Male_Power\103204BK_Back.jpg"
MP11111C-BLK-S/M,"Tank Top - Black Small/Medium",Loungewear,MP11111C,3,"Male_Power\11111CBK.jpg","Male_Power\11111CBK_Back.jpg"
MP11111C-BLK-L/XL,"Tank Top - Black Large/X-Large",Loungewear,MP11111C,4,"Male_Power\11111CBK.jpg","Male_Power\11111CBK_Back.jpg"
MP112233-BLK-L,"Tank - Black Large",Loungewear,MP112233,5,"Male_Power\112233BK.jpg","Male_Power\112233BK_Back.jpg"
MP112233-BLK-M,"Tank - Black Medium",Loungewear,MP112233,5,"Male_Power\112233BK.jpg","Male_Power\112233BK_Back.jpg"
MP112233-BLK-S,"Tank - Black Small",Loungewear,MP112233,2,"Male_Power\112233BK.jpg","Male_Power\112233BK_Back.jpg"
MP112233-BLK-XL,"Tank - Black X-Large",Loungewear,MP112233,2,"Male_Power\112233BK.jpg","Male_Power\112233BK_Back.jpg"
MP113240-PRNT-S,"Fitness Tank - Print Small",Loungewear,MP113240,3,"Male_Power\113240PR.jpg","Male_Power\113240PR_Back.jpg"
MP113240-PRNT-L,"Fitness Tank - Print Large",Loungewear,MP113240,6,"Male_Power\113240PR.jpg","Male_Power\113240PR_Back.jpg"
MP113240-PRNT-XL,"Fitness Tank - Print X-Large",Loungewear,MP113240,7,"Male_Power\113240PR.jpg","Male_Power\113240PR_Back.jpg"
MP129236-RED-L,"Micro Mini Hose Short - Red Large",Shorts,MP129236,0,"Male_Power\129236RE.jpg","Male_Power\129236RE_Back.jpg"
MP129236-RED-M,"Micro Mini Hose Short - Red Medium",Shorts,MP129236,3,"Male_Power\129236RE.jpg","Male_Power\129236RE_Back.jpg"
MP129236-RED-S,"Micro Mini Hose Short - Red Small",Shorts,MP129236,3,"Male_Power\129236RE.jpg","Male_Power\129236RE_Back.jpg"
MP129236-RED-XL,"Micro Mini Hose Short - Red X-Large",Shorts,MP129236,2,"Male_Power\129236RE.jpg","Male_Power\129236RE_Back.jpg"
MP130234-BLK/WHT-L,"Micro Mini Short - Black/White Large",Shorts,MP130234,4,"Male_Power\130234WB.jpg","Male_Power\130234WB_Back.jpg"
MP130234-BLK/WHT-M,"Micro Mini Short - Black/White Medium",Shorts,MP130234,3,"Male_Power\130234WB.jpg","Male_Power\130234WB_Back.jpg"
MP130234-BLK/WHT-S,"Micro Mini Short - Black/White Small",Shorts,MP130234,4,"Male_Power\130234WB.jpg","Male_Power\130234WB_Back.jpg"
MP130234-BLK/WHT-XL,"Micro Mini Short - Black/White X-Large",Shorts,MP130234,3,"Male_Power\130234WB.jpg","Male_Power\130234WB_Back.jpg"
MP130234-SEA/BLK-L,"Micro Mini Short - Seafoam/Black Large",Shorts,MP130234,5,"Male_Power\130234SB.jpg","Male_Power\130234SB_Back.jpg"
MP130234-SEA/BLK-XL,"Micro Mini Short - Seafoam/Black X-Large",Shorts,MP130234,3,"Male_Power\130234SB.jpg","Male_Power\130234SB_Back.jpg"
MP130234-SEA/BLK-M,"Micro Mini Short - Seafoam/Black Medium",Shorts,MP130234,3,"Male_Power\130234SB.jpg","Male_Power\130234SB_Back.jpg"
MP131233-BLK-L,"Mini Short - Black Large",Shorts,MP131233,2,"Male_Power\131233BK.jpg","Male_Power\131233BK_Back.jpg"
MP131233-BLK-XL,"Mini Short - Black X-Large",Shorts,MP131233,6,"Male_Power\131233BK.jpg","Male_Power\131233BK_Back.jpg"
MP131233-BLK-M,"Mini Short - Black Medium",Shorts,MP131233,3,"Male_Power\131233BK.jpg","Male_Power\131233BK_Back.jpg"
MP132235-BLK-L,"Short with pocket cavity - Black Large",Shorts,MP132235,1,"Male_Power\132235BK.jpg","Male_Power\132235BK_Back.jpg"
MP132235-NVY-L,"Short with pocket cavity - Navy Large",Shorts,MP132235,2,"Male_Power\132235NV.jpg","Male_Power\132235NV_Back.jpg"
MP132235-NVY-M,"Short with pocket cavity - Navy Medium",Shorts,MP132235,1,"Male_Power\132235NV.jpg","Male_Power\132235NV_Back.jpg"
MP132235-NVY-S,"Short with pocket cavity - Navy Small",Shorts,MP132235,2,"Male_Power\132235NV.jpg","Male_Power\132235NV_Back.jpg"
MP132235-NVY-XL,"Short with pocket cavity - Navy X-Large",Shorts,MP132235,2,"Male_Power\132235NV.jpg","Male_Power\132235NV_Back.jpg"
MP133237-BLK/GRY-S,"Mini Short Reversible - Black/Grey Small",Shorts,MP133237,1,"Male_Power\133237GB.jpg","Male_Power\133237GB_Back.jpg"
MP133237-BLK/GRY-M,"Mini Short Reversible - Black/Grey Medium",Shorts,MP133237,1,"Male_Power\133237GB.jpg","Male_Power\133237GB_Back.jpg"
MP133237-BLK/GRY-L,"Mini Short Reversible - Black/Grey Large",Shorts,MP133237,2,"Male_Power\133237GB.jpg","Male_Power\133237GB_Back.jpg"
MP133237-BLK/GRY-XL,"Mini Short Reversible - Black/Grey X-Large",Shorts,MP133237,2,"Male_Power\133237GB.jpg","Male_Power\133237GB_Back.jpg"
MP133237-ROY-S,"Mini Short Reversible - Royal Small",Shorts,MP133237,2,"Male_Power\133237RB.jpg","Male_Power\133237RB_Back.jpg"
MP133237-ROY-M,"Mini Short Reversible - Royal Medium",Shorts,MP133237,1,"Male_Power\133237RB.jpg","Male_Power\133237RB_Back.jpg"
MP133237-ROY-L,"Mini Short Reversible - Royal Large",Shorts,MP133237,2,"Male_Power\133237RB.jpg","Male_Power\133237RB_Back.jpg"
MP133237-ROY-XL,"Mini Short Reversible - Royal X-Large",Shorts,MP133237,2,"Male_Power\133237RB.jpg","Male_Power\133237RB_Back.jpg"
MP134238-BLU/BLK-S,"Strappy Short - Blue/Black Small",Shorts,MP134238,3,"Male_Power\134238BK.jpg","Male_Power\134238BK Back.jpg"
MP134238-BLU/BLK-M,"Strappy Short - Blue/Black Medium",Shorts,MP134238,3,"Male_Power\134238BK.jpg","Male_Power\134238BK Back.jpg"
MP134238-BLU/BLK-L,"Strappy Short - Blue/Black Large",Shorts,MP134238,2,"Male_Power\134238BK.jpg","Male_Power\134238BK Back.jpg"
MP134238-BLU/BLK-XL,"Strappy Short - Blue/Black X-Large",Shorts,MP134238,3,"Male_Power\134238BK.jpg","Male_Power\134238BK Back.jpg"
MP135239-BLK-XL,"Clip Mini Short - Black X-Large",Shorts,MP135239,7,"Male_Power\135239BK.jpg","Male_Power\135239BK_Back.jpg"
MP136241-CLY-S,"Butt Lift Short - Clay Small",Shorts,MP136241,1,"Male_Power\136-241CY.jpg","Male_Power\136-241CY_Back.jpg"
MP136241-CLY-XL,"Butt Lift Short - Clay X-Large",Shorts,MP136241,1,"Male_Power\136-241CY.jpg","Male_Power\136-241CY_Back.jpg"
MP137242-BLK-S,"Insert Short - Black Small",Shorts,MP137242,2,"Male_Power\137-242BK.jpg","Male_Power\137-242BK_Back.jpg"
MP137242-BLK-M,"Insert Short - Black Medium",Shorts,MP137242,1,"Male_Power\137-242BK.jpg","Male_Power\137-242BK_Back.jpg"
MP137242-BLK-L,"Insert Short - Black Large",Shorts,MP137242,1,"Male_Power\137-242BK.jpg","Male_Power\137-242BK_Back.jpg"
MP137242-BLK-XL,"Insert Short - Black X-Large",Shorts,MP137242,2,"Male_Power\137-242BK.jpg","Male_Power\137-242BK_Back.jpg"
MP137242-BUR-M,"Insert Short - Burgundy Medium",Shorts,MP137242,1,"Male_Power\137-242BN.jpg"
MP137242-BUR-XL,"Insert Short - Burgundy X-Large",Shorts,MP137242,1,"Male_Power\137-242BN.jpg"
MP139219-NVY-S,"Snap Pouch Short - Navy Small",Shorts,MP139219,2,"Male_Power\139219NV.jpg","Male_Power\139219NV_Back.jpg"
MP139219-NVY-M,"Snap Pouch Short - Navy Medium",Shorts,MP139219,2,"Male_Power\139219NV.jpg","Male_Power\139219NV_Back.jpg"
MP139219-NVY-XL,"Snap Pouch Short - Navy X-Large",Shorts,MP139219,2,"Male_Power\139219NV.jpg","Male_Power\139219NV_Back.jpg"
MP139219-NVY-L,"Male Power Snap Pouch Short / Navy / Large",Shorts,MP139219,1,"Male_Power\139219NV"
MP145056-BLK-L,"Pouch Short - Black Large",Shorts,MP145056,1,"Male_Power\145056BK.jpg","Male_Power\145056BK_Back.jpg"
MP145056-BLK-M,"Pouch Short - Black Medium",Shorts,MP145056,3,"Male_Power\145056BK.jpg","Male_Power\145056BK_Back.jpg"
MP145056-BLK-S,"Pouch Short - Black Small",Shorts,MP145056,6,"Male_Power\145056BK.jpg","Male_Power\145056BK_Back.jpg"
MP145056-BLK-XL,"Pouch Short - Black X-Large",Shorts,MP145056,3,"Male_Power\145056BK.jpg","Male_Power\145056BK_Back.jpg"
MP145056-WHT-S,"Pouch Short - White Small",Shorts,MP145056,2,"Male_Power\145056WH.jpg","Male_Power\145056WH_Back.jpg"
MP145056-WHT-L,"Pouch Short - White Large",Shorts,MP145056,3,"Male_Power\145056WH.jpg","Male_Power\145056WH_Back.jpg"
MP145056-WHT-XL,"Pouch Short - White X-Large",Shorts,MP145056,1,"Male_Power\145056WH.jpg","Male_Power\145056WH_Back.jpg"
MP14507B-LME-S,"Pouch Short - Lime Small",Shorts,MP14507B,1,"Male_Power\14507BLM.jpg"
MP14507B-LME-M,"Pouch Short - Lime Medium",Shorts,MP14507B,1,"Male_Power\14507BLM.jpg"
MP14507B-LME-L,"Pouch Short - Lime Large",Shorts,MP14507B,1,"Male_Power\14507BLM.jpg"
MP14507B-LME-XL,"Pouch Short - Lime X-Large",Shorts,MP14507B,1,"Male_Power\14507BLM.jpg"
