stock_code,description,parent_stock_type,parent_stock_code,stock_available
RR11013,,"Bedroom Costume",RR11013,0,"Rene\11013-RED.jpg"
RR51008X-BLK-1X/2X,"Deconstruct Me Chemise 2Pc Set - Black 1X/2X",Chemise,RR51008X,0,"Rene\51008-BLK--Deconstruct-Me-2pc-Chemise-Set-0445.jpg","Rene\51008-BLK--Deconstruct-Me-2pc-Chemise-Set-0473.jpg"
RR51008X-BLK-3X/4X,"Deconstruct Me Chemise 2Pc Set - Black 3X/4X",Chemise,RR51008X,0,"Rene\51008-BLK--Deconstruct-Me-2pc-Chemise-Set-0445.jpg","Rene\51008-BLK--Deconstruct-Me-2pc-Chemise-Set-0473.jpg"
RR6026,,"Thigh High",RR6026,0,"Rene\6026-BLK front.jpg"
RR8013,,"Thigh High",RR8013,2,"Rene\8013-BLK.jpg"
RR8019-BLK,"Sheer Thigh Highs Black","Thigh High",RR8019,3,"Rene\8019-BLK.jpg"
RR8019-RED,"Sheer Thigh Highs Red","Thigh High",RR8019,8,"Rene\8019-RED.jpg","Rene\8019-RED-B.jpg"
RR8019-WHT,"Sheer Thigh Highs White","Thigh High",RR8019,4,"Rene\8019-WHT.jpg","Rene\8019-WHT-B.jpg"
RR8020,,"Thigh High",RR8020,208,"Rene\8020-BLK-front.jpg"
RR8021,,"Thigh High",RR8021,0,"Rene\8021-BLK-rear.jpg"
RR8022,,"Thigh High",RR8022,0,"Rene\8022-BLK OS.jpg"
RR8023,,"Thigh High",RR8023,10,"Rene\8023-BLK rear.jpg"
RR8024,,"Thigh High",RR8024,15,"Rene\8024-NDE-B.jpg","Rene\8024-NDE.jpg"
RR9018,,Pantyhose,RR9018,1,"Rene\9018-BLK rear.jpg"
RR1001-GRY-S,"Reform School Velcro Mini Shir - Grey Small",Skirt,RR1001,2,"Rene\1001-GRY","Rene\1001-GRY-B.jpg"
RR1001-BLU-XL,"Reform School Velcro Mini Shir - Blue X-Large",Skirt,RR1001,2,"Rene\1001-BLU front","Rene\1001-BLU-B.jpg"
RR1001-PNK-L,"Reform School Velcro Mini Shir - Pink Large",Skirt,RR1001,2,"Rene\1001-PNK front"
RR1001-PNK-M,"Reform School Velcro Mini Shir - Pink Medium",Skirt,RR1001,1,"Rene\1001-PNK front"
RR1001-PNK-S,"Reform School Velcro Mini Shir - Pink Small",Skirt,RR1001,2,"Rene\1001-PNK front"
RR1001-PNK-XL,"Reform School Velcro Mini Shir - Pink X-Large",Skirt,RR1001,0,"Rene\1001-RED front"
RR1001-RED-L,"Reform School Velcro Mini Shir - Red Large",Skirt,RR1001,5,"Rene\1001-RED front","Rene\1001-RED rear.jpg"
RR1001-RED-M,"Reform School Velcro Mini Shir - Red Medium",Skirt,RR1001,2,"Rene\1001-RED front","Rene\1001-RED rear.jpg"
RR1001-RED-S,"Reform School Velcro Mini Shir - Red Small",Skirt,RR1001,1,"Rene\1001-RED front","Rene\1001-RED rear.jpg"
RR1001-RED-XL,"Reform School Velcro Mini Shir - Red X-Large",Skirt,RR1001,0,"Rene\1001-RED front","Rene\1001-RED rear.jpg"
RR1028-RED-M/L,"Crotchless Lace Thong W/Bows - Red Medium/Large",Thong,RR1028,0,"Rene\1028-RED","Rene\1028-RED-B.jpg"
RR1028-RED-S/M,"Crotchless Lace Thong W/Bows - Red Small/Medium",Thong,RR1028,0,"Rene\1028-RED","Rene\1028-RED-B.jpg"
RR1028-BLK-M/L,"Crotchless Lace Thong W/Bows - Black Medium/Large",Thong,RR1028,0,"Rene\1028-front-3","Rene\1028-rear-1.jpg"
RR1028-BLK-S/M,"Crotchless Lace Thong W/Bows - Black Small/Medium",Thong,RR1028,4,"Rene\1028-front-3","Rene\1028-rear-1.jpg"
RR1028X-RED-1X/2X,"Crotchless Lace Thong W/Bows - Red 1X/2X",Thong,RR1028X,0,"Rene\1028X-RED-8739.jpg","Rene\1028X-RED-8769.jpg"
