stock_code,description,parent_stock_type,parent_stock_code,stock_available
STM10501P-RED-OS,"Double Dare Merrywidow Set - Red One Size",Merrywidow,STM10501P,6,"STM\10501P_RED_F"
STM10501P-BLK-OS,"Double Dare Merrywidow Set - Black One Size",Merrywidow,STM10501P,12,"STM\10501P_BLACK_F"
STM10501P-WHT-OS,,Merrywidow,STM10501P-WHT-OS,25,"STM\10501P_White_F"
STM10501P-WNE-OS,"Double Dare Merrywidow Set - Wine One Size",Merrywidow,STM10501P,44,"STM\10501P_WINE_F"
STM10501XP-BLK-QS,"Double Dare Merrywidow Set - Black Queen Size",Merrywidow,STM10501XP,0,"STM\10501XP_BLACK_F"
STM10501XP-RED-QS,"Double Dare Merrywidow Set - Red Queen Size",Merrywidow,STM10501XP,1,"STM\10501XP_RED_F"
STM10501XP-WHT-QS,"Double Dare Merrywidow Set - White Queen Size",Merrywidow,STM10501XP,47,"STM\10501XP_White_F"
STM10501XP-WNE-QS,"Double Dare Merrywidow Set - Wine Queen Size",Merrywidow,STM10501XP,40,"STM\10501XP_WINE_F"
STM10513-BLK-S,"Laila Panty - Black Small",Knicker,STM10513,120,"STM\10513_BLACK_F.jpg","STM\10513_BLACK_B.jpg"
STM10513-BLK-M,"Laila Panty - Black Medium",Knicker,STM10513,425,"STM\10513_BLACK_F.jpg","STM\10513_BLACK_B.jpg"
STM10513-BLK-L,"Laila Panty - Black Large",Knicker,STM10513,107,"STM\10513_BLACK_F.jpg","STM\10513_BLACK_B.jpg"
STM10513-BLK-XL,"Laila Panty - Black X-Large",Knicker,STM10513,385,"STM\10513_BLACK_F.jpg","STM\10513_BLACK_B.jpg"
STM10513-PNK-S,"Laila Panty - Pink Small",Knicker,STM10513,374,"STM\10513_HOTPINK_F.jpg","STM\10513_HOTPINK_B.jpg"
STM10513-PNK-M,"Laila Panty - Pink Medium",Knicker,STM10513,358,"STM\10513_HOTPINK_F.jpg","STM\10513_HOTPINK_B.jpg"
STM10513-PNK-L,"Laila Panty - Pink Large",Knicker,STM10513,396,"STM\10513_HOTPINK_F.jpg","STM\10513_HOTPINK_B.jpg"
STM10513-PNK-XL,"Laila Panty - Pink X-Large",Knicker,STM10513,436,"STM\10513_HOTPINK_F.jpg","STM\10513_HOTPINK_B.jpg"
STM10513-PUR-S,"Laila Panty - Purple Small",Knicker,STM10513,13,"STM\10513_PURPLE_F.jpg","STM\10513_PURPLE_B.jpg"
STM10513-PUR-M,"Laila Panty - Purple Medium",Knicker,STM10513,40,"STM\10513_PURPLE_F.jpg","STM\10513_PURPLE_B.jpg"
STM10513-PUR-L,"Laila Panty - Purple Large",Knicker,STM10513,23,"STM\10513_PURPLE_F.jpg","STM\10513_PURPLE_B.jpg"
STM10513-PUR-XL,"Laila Panty - Purple X-Large",Knicker,STM10513,37,"STM\10513_PURPLE_F.jpg","STM\10513_PURPLE_B.jpg"
STM10513-RED-S,"Laila Panty - Red Small",Knicker,STM10513,0,"STM\10513_RED_F.jpg","STM\10513_RED_B.jpg"
STM10513-RED-M,"Laila Panty - Red Medium",Knicker,STM10513,12,"STM\10513_RED_F.jpg","STM\10513_RED_B.jpg"
STM10513-RED-L,"Laila Panty - Red Large",Knicker,STM10513,0,"STM\10513_RED_F.jpg","STM\10513_RED_B.jpg"
STM10513-RED-XL,"Laila Panty - Red X-Large",Knicker,STM10513,44,"STM\10513_RED_F.jpg","STM\10513_RED_B.jpg"
STM10513-TUR-S,"Laila Panty - Turquoise Small",Knicker,STM10513,0,"STM\10513_TURQ_F.jpg","STM\10513_TURQ_B.jpg"
STM10513-TUR-M,"Laila Panty - Turquoise Medium",Knicker,STM10513,0,"STM\10513_TURQ_F.jpg","STM\10513_TURQ_B.jpg"
STM10513-TUR-L,"Laila Panty - Turquoise Large",Knicker,STM10513,0,"STM\10513_TURQ_F.jpg","STM\10513_TURQ_B.jpg"
STM10513-TUR-XL,"Laila Panty - Turquoise X-Large",Knicker,STM10513,0,"STM\10513_TURQ_F.jpg","STM\10513_TURQ_B.jpg"
STM10513-WHT-S,"Laila Panty - White Small",Knicker,STM10513,426,"STM\10513_WHITE_F.jpg","STM\10513_WHITE_B.jpg"
STM10513-WHT-L,"Laila Panty - White Large",Knicker,STM10513,430,"STM\10513_WHITE_F.jpg","STM\10513_WHITE_B.jpg"
STM10513-WHT-M,"Laila Panty - White Medium",Knicker,STM10513,390,"STM\10513_WHITE_F.jpg","STM\10513_WHITE_B.jpg"
STM10513-WHT-XL,"Laila Panty - White X-Large",Knicker,STM10513,227,"STM\10513_WHITE_F.jpg","STM\10513_WHITE_B.jpg"
STM10513X-BLK-1X/2X,"Laila Panty - Black 1X/2X",Knicker,STM10513X,5,"STM\10513X_BLACK_F.jpg","STM\10513X_BLACK_B.jpg"
STM10513X-BLK-3X/4X,"Laila Panty - Black 3X/4X",Knicker,STM10513X,44,"STM\10513X_BLACK_F.jpg","STM\10513X_BLACK_B.jpg"
STM10513X-PNK-1X/2X,"Laila Panty - Pink 1X/2X",Knicker,STM10513X,0,"STM\10513X_HOTPINK_F.jpg","STM\10513X_HOTPINK_B.jpg"
STM10513X-PNK-3X/4X,"Laila Panty - Pink 3X/4X",Knicker,STM10513X,13,"STM\10513X_HOTPINK_F.jpg","STM\10513X_HOTPINK_B.jpg"
STM10513X-PUR-1X/2X,"Laila Panty - Purple 1X/2X",Knicker,STM10513X,6,"STM\10513X_PURPLE_F.jpg","STM\10513X_PURPLE_B.jpg"
STM10513X-PUR-3X/4X,"Laila Panty - Purple 3X/4X",Knicker,STM10513X,5,"STM\10513X_PURPLE_F.jpg","STM\10513X_PURPLE_B.jpg"
STM10513X-RED-1X/2X,"Laila Panty - Red 1X/2X",Knicker,STM10513X,94,"STM\10513X_RED_F.jpg","STM\10513X_RED_B.jpg"
STM10513X-RED-3X/4X,"Laila Panty - Red 3X/4X",Knicker,STM10513X,121,"STM\10513X_RED_F.jpg","STM\10513X_RED_B.jpg"
STM10513X-WHT-1X/2X,"Laila Panty - White 1X/2X",Knicker,STM10513X,0,"STM\10513X_WHITE_F.jpg","STM\10513X_WHITE_B.jpg"
STM10513X-WHT-3X/4X,"Laila Panty - White 3X/4X",Knicker,STM10513X,0,"STM\10513X_WHITE_F.jpg","STM\10513X_WHITE_B.jpg"
STM10513X-TUR-1X/2X,"Laila Panty - Turquoise 1X/2X",Knicker,STM10513X,0,"STM\10513X_TURQ_F.jpg","STM\10513X_TURQ_B.jpg"
STM10513X-TUR-3X/4X,"Laila Panty - Turquoise 3X/4X",Knicker,STM10513X,0,"STM\10513X_TURQ_F.jpg","STM\10513X_TURQ_B.jpg"
STM10519-BLK-XL,"Olivia Thong / Black / X-Large",Thong,STM10519,6,"STM\10519_BLACK_F.jpg","STM\10519_BLACK_B.jpg","STM\10519_BLACK_F"
STM10560P,,Merrywidow,STM10560P,0,"STM\10560P_RED_F.jpg","STM\10560P_RED_B.jpg"
STM10560XP,,Merrywidow,STM10560XP,0,"STM\10560XP_RED_F.jpg","STM\10560XP_RED_B.jpg"
STM10565P-RED-OS,"Bow Statement Bra Set - Red One Size","Bra Set",STM10565P,7,"STM\10565P_RED_F.jpg","STM\10565P_RED_B.jpg"
