stock_code,description,parent_stock_type,parent_stock_code,stock_available
FV20136,,Wig,FV20136,0,"Fever\20136.jpg"
FV20549-GLD-S,"Fever Golden Princess Costume Gold - Gold Small","Fancy Dress",FV20549,0,"Fever\20549.jpg"
FV20549-GLD-M,"Fever Golden Princess Costume Gold - Gold Medium","Fancy Dress",FV20549,0,"Fever\20549.jpg"
FV20561-CRM-L,"Fever Goddess Costume Cream - Cream Large","Fancy Dress",FV20561,0,"Fever\20561.jpg"
FV20561-CRM-S,"Fever Goddess Costume Cream - Cream Small","Fancy Dress",FV20561,0,"Fever\20561.jpg"
FV20561-CRM-M,"Fever Goddess Costume Cream - Cream Medium","Fancy Dress",FV20561,0,"Fever\20561.jpg"
FV20770-RED-L,"Fever Santa Babe Costume Red - Red Large","Fancy Dress",FV20770,0,"Fever\20770.jpg"
FV20770-RED-S,"Fever Santa Babe Costume Red - Red Small","Fancy Dress",FV20770,0,"Fever\20770.jpg"
FV20770-RED-M,"Fever Santa Babe Costume Red - Red Medium","Fancy Dress",FV20770,0,"Fever\20770.jpg"
FV20791,,Dress,FV20791,0,"Fever\20791.jpg"
FV20853,,Bodystocking,FV20853,0,"Fever\20853_A1.jpg"
FV20855,,Bodystocking,FV20855,0,"Fever\20855_A1.jpg"
FV21010-RED-S,"Fever Miss Mouse Costume Red - Red Small","Fancy Dress",FV21010,0,"Fever\21010.jpg"
FV21096,,Dress,FV21096,0,"Fever\21096_A1.jpg"
FV21112,,Eyelash,FV21112,0,"Fever\21112.jpg"
FV21120,,Eyelash,FV21120,0,"Fever\21120.jpg"
FV21192,,Headband,FV21192,0,"Fever\21192.jpg"
FV21194,,Headband,FV21194,0,"Fever\21194.jpg"
FV21203,,Eyelash,FV21203,0,"Fever\21203_A1.jpg"
FV21296,,Headband,FV21296,0,"Fever\21296.jpg"
FV21298,,Headband,FV21298,0,"Fever\21298.jpg"
FV21299,,Headband,FV21299,0,"Fever\21299.jpg"
FV21418-BLK-S,"Fever Police House Arrest Black - Black Small","Bedroom Costume",FV21418,0,"Fever\21418.jpg"
FV21418-BLK-M,"Fever Police House Arrest Black - Black Medium","Bedroom Costume",FV21418,0,"Fever\21418.jpg"
FV21418-BLK-L,"Fever Police House Arrest Black - Black Large","Bedroom Costume",FV21418,0,"Fever\21418.jpg"
FV21428,,Hold-Ups,FV21428,25,"Fever\21428.jpg"
FV21429,,Hold-Ups,FV21429,0,"Fever\21429_A1.jpg"
FV21430,,Hold-Ups,FV21430,11,"Fever\21430_A1.jpg"
FV21431,,Hold-Ups,FV21431,0,"Fever\21431_A1.jpg"
FV22016-WHT-S,"Fever No Nonsense Nurse Costume - White Small","Bedroom Costume",FV22016,0,"Fever\22016.jpg"
FV22016-WHT-L,"Fever No Nonsense Nurse Costume - White Large","Bedroom Costume",FV22016,0,"Fever\22016.jpg"
FV22016-WHT-XS,"Fever No Nonsense Nurse Costume - White Extra Small","Bedroom Costume",FV22016,0,"Fever\22016.jpg"
FV22016-WHT-M,"Fever No Nonsense Nurse Costume - White Medium","Bedroom Costume",FV22016,0,"Fever\22016.jpg"
FV22097,,Tutu/Peticoat,FV22097,0,"Fever\22097.jpg"
FV22546,,Gloves,FV22546,0,"Fever\22546.jpg"
FV22549,,Gloves,FV22549,0,"Fever\22549.jpg"
FV22550,,Gloves,FV22550,5,"Fever\22550.jpg"
FV22619,,Tutu/Peticoat,FV22619,0,"Fever\22619.jpg"
FV22789-PNK-S,"Fever Flapper Hotty Costume Pink - Pink Small","Fancy Dress",FV22789,0,"Fever\22789.jpg"
FV22790-WHT-M,"Fever Flapper Dazzle Costume White - White Medium","Fancy Dress",FV22790,0,"Fever\22790.jpg"
FV22790-WHT-S,"Fever Flapper Dazzle Costume White - White Small","Fancy Dress",FV22790,0,"Fever\22790.jpg"
FV22790-WHT-L,"Fever Flapper Dazzle Costume White - White Large","Fancy Dress",FV22790,0,"Fever\22790.jpg"
FV22795-BRN-M,"Fever Giraffe Costume Tutu Dress Brown - Brown Medium","Fancy Dress",FV22795,0,"Fever\22795.jpg"
FV22795-BRN-XS,"Fever Giraffe Costume Tutu Dress Brown - Brown Extra Small","Fancy Dress",FV22795,0,"Fever\22795.jpg"
FV22795-BRN-S,"Fever Giraffe Costume Tutu Dress Brown - Brown Small","Fancy Dress",FV22795,0,"Fever\22795.jpg"
FV22795-BRN-L,"Fever Giraffe Costume Tutu Dress Brown - Brown Large","Fancy Dress",FV22795,0,"Fever\22795.jpg"
FV22797-BLK/WHT-M,"Fever Panda Costume Tutu Dress Black & White - Black/White Medium","Fancy Dress",FV22797,0,"Fever\22797.jpg"
FV22797-BLK/WHT-S,"Fever Panda Costume Tutu Dress Black & White - Black/White Small","Fancy Dress",FV22797,0,"Fever\22797.jpg"
FV22817-WHT-L,"Fever 80s Chick Costume White - White Large","Fancy Dress",FV22817,0,"Fever\22817.jpg"
FV22824-BLK-M,"Fever Flapper Foxy Costume Black - Black Medium","Fancy Dress",FV22824,0,"Fever\22824.jpg"
FV22824-BLK-L,"Fever Flapper Foxy Costume Black - Black Large","Fancy Dress",FV22824,0,"Fever\22824.jpg"
FV22824-BLK-S,"Fever Flapper Foxy Costume Black - Black Small","Fancy Dress",FV22824,0,"Fever\22824.jpg"
