stock_code,description,parent_stock_type,parent_stock_code,stock_available
TL9601-CAP-2X,"Tia Lyn Core Hipster / Capri / 2X",Boyshort,TL9601,2,"Tia Lyn\9601-CAPR-F3"
TL9100-CAP-1X,"Tia Lynn Core Bralet  / Capri / 1X",Bra,TL9100,2,"Tia Lyn\9100-CAPR-F"
TL9100-CAP-2X,"Tia Lynn Core Bralet  / Capri / 2X",Bra,TL9100,2,"Tia Lyn\9100-CAPR-F"
TL9100-CAP-3X,"Tia Lynn Core Bralet  / Capri / 3X",Bra,TL9100,2,"Tia Lyn\9100-CAPR-F"
TL9100-BLK-L,"Tia Lynn Core Bralet  / Black / Large",Bra,TL9100,0
TL9104-BLK-1X,"Tia Lyn Rendezvous Bralet / Black / 1X",Bra,TL9104,1,"Tia Lyn\9104-BLAC-F"
TL9104-BLK-L,"Tia Lyn Rendezvous Bralet / Black / Large",Bra,TL9104,1,"Tia Lyn\9104-BLAC-F"
TL9401-CAP-1X,"Tia Lyn Core Built-Up Chemise / Capri / 1X",Chemise,TL9401,2,"Tia Lyn\9401-CAPR-F"
TL9401-CAP-2X,"Tia Lyn Core Built-Up Chemise / Capri / 2X",Chemise,TL9401,2,"Tia Lyn\9401-CAPR-F"
TL9401-CAP-3X,"Tia Lyn Core Built-Up Chemise / Capri / 3X",Chemise,TL9401,2,"Tia Lyn\9401-CAPR-F"
TL9401-MOC-1X,"Tia Lyn Core Built-Up Chemise / Mocha / 1X",Chemise,TL9401,1,"Tia Lyn\9401-MOCH-F"
TL9401-MOC-2X,"Tia Lyn Core Built-Up Chemise / Mocha / 2X",Chemise,TL9401,1,"Tia Lyn\9401-MOCH-F"
TL9401-MOC-3X,"Tia Lyn Core Built-Up Chemise / Mocha / 3X",Chemise,TL9401,1,"Tia Lyn\9401-MOCH-F"
TL9401-MOC-L,"Tia Lyn Core Built-Up Chemise / Mocha / Large",Chemise,TL9401,1,"Tia Lyn\9401-MOCH-F"
TL9401-CRIM-L,"Tia Lyn Core Built-Up Chemise / Crimson / Large",Chemise,TL9401,1,"Tia Lyn\9401-CRIM-F"
TL9403-MNT-2X,"Tia Lyn Euphoria Chemise / Mint / 2X",Chemise,TL9403,1,"Tia Lyn\9403-front"
TL9500-IVRY-1X,"Tia Lyn Vintage Gown / Ivory / 1X","Gowns & Robes",TL9500,2,"Tia Lyn\9500-IVOR-F"
TL9500-IVRY-2X,"Tia Lyn Vintage Gown / Ivory / 2X","Gowns & Robes",TL9500,2,"Tia Lyn\9500-IVOR-F"
TL9500-IVRY-3X,"Tia Lyn Vintage Gown / Ivory / 3X","Gowns & Robes",TL9500,2,"Tia Lyn\9500-IVOR-F"
TL9500-IVRY-L,"Tia Lyn Vintage Gown / Ivory / Large","Gowns & Robes",TL9500,2,"Tia Lyn\9500-IVOR-F"
TL9500-BLK/IVY-1X,"Tia Lyn Vintage Gown / Black/Ivory / 1X","Gowns & Robes",TL9500,1,"Tia Lyn\9500-BLAC-F"
TL9500-BLK/IVY-3X,"Tia Lyn Vintage Gown / Black/Ivory / 3X","Gowns & Robes",TL9500,2,"Tia Lyn\9500-BLAC-F"
TL9500-BLK/IVY-L,"Tia Lyn Vintage Gown / Black/Ivory / Large","Gowns & Robes",TL9500,2,"Tia Lyn\9500-BLAC-F"
TL9503-BLK-1X,"Tia Lyn Signature Nightshirt / Black / 1X",Dress,TL9503,2,"Tia Lyn\9503-BLAC-F"
TL9503-BLK-2X,"Tia Lyn Signature Nightshirt / Black / 2X",Dress,TL9503,2,"Tia Lyn\9503-BLAC-F"
TL9503-BLK-3X,"Tia Lyn Signature Nightshirt / Black / 3X",Dress,TL9503,2,"Tia Lyn\9503-BLAC-F"
TL9503-BLK-L,"Tia Lyn Signature Nightshirt / Black / Large",Dress,TL9503,2,"Tia Lyn\9503-BLAC-F"
TL9503-CRIM-1X,"Tia Lyn Signature Nightshirt / Crimson / 1X",Dress,TL9503,2,"Tia Lyn\9503-CRIM-F"
TL9503-CRIM-2X,"Tia Lyn Signature Nightshirt / Crimson / 2X",Dress,TL9503,2,"Tia Lyn\9503-CRIM-F"
TL9503-CRIM-3X,"Tia Lyn Signature Nightshirt / Crimson / 3X",Dress,TL9503,2,"Tia Lyn\9503-CRIM-F"
TL9503-CRIM-L,"Tia Lyn Signature Nightshirt / Crimson / Large",Dress,TL9503,2,"Tia Lyn\9503-CRIM-F"
TL9505-IRIS-2X,"Tia Lyn Bliss Pajamas / Iris / 2X",Set,TL9505,1,"Tia Lyn\9505-IRIS-F"
TL9600-CRIM-S,"Tia Lyn Core Thong / Crimson / Small",Thong,TL9600,1,"Tia Lyn\9600-CRIM-F"
TL9601-CAP-1X,"Tia Lyn Core Hipster / Capri / 1X",Boyshort,TL9601,2,"Tia Lyn\9601-CAPR-F2"
TL9601-CAP-3X,"Tia Lyn Core Hipster / Capri / 3X",Boyshort,TL9601,2,"Tia Lyn\9601-CAPR-F4"
TL9601-CRIM-1X,"Tia Lyn Core Hipster / Crimson / 1X",Boyshort,TL9601,1,"Tia Lyn\9601-CRIM-F"
TL9601-CRIM-2X,"Tia Lyn Core Hipster / Crimson / 2X",Boyshort,TL9601,1,"Tia Lyn\9601-CRIM-F"
TL9601-CRIM-3X,"Tia Lyn Core Hipster / Crimson / 3X",Boyshort,TL9601,2,"Tia Lyn\9601-CRIM-F"
TL9601-MOC-1X,"Tia Lyn Core Hipster / Mocha / 1X",Boyshort,TL9601,2,"Tia Lyn\9601-MOCH-F"
TL9601-MOC-2X,"Tia Lyn Core Hipster / Mocha / 2X",Boyshort,TL9601,2,"Tia Lyn\9601-MOCH-F"
TL9601-MOC-3X,"Tia Lyn Core Hipster / Mocha / 3X",Boyshort,TL9601,2,"Tia Lyn\9601-MOCH-F"
TL9601-MOC-L,"Tia Lyn Core Hipster / Mocha / Large",Boyshort,TL9601,2,"Tia Lyn\9601-MOCH-F"
TL9603-CAP-1X,"Tia Lyn Core Hi-Waist Garter Thong / Capri / 1X",Thong,TL9603,2,"Tia Lyn\9603-CAPRI-F"
TL9603-CAP-2X,"Tia Lyn Core Hi-Waist Garter Thong / Capri / 2X",Thong,TL9603,2,"Tia Lyn\9603-CAPRI-F"
TL9603-CAP-3X,"Tia Lyn Core Hi-Waist Garter Thong / Capri / 3X",Thong,TL9603,2,"Tia Lyn\9603-CAPRI-F"
TL9603-CAP-L,"Tia Lyn Core Hi-Waist Garter Thong / Capri / Large",Thong,TL9603,1,"Tia Lyn\9603-CAPRI-F"
