stock_code,description,parent_stock_type,parent_stock_code,stock_available,post_type,image_1,image_2
BD1244,,"Bedroom Costume",BD1244,243,product,"Baci\BD1244_01","Baci\BD1244_02.jpg"
BD1301,,"Thigh High",BD1301,196,product,"Baci\BD1301_000_01",
BD1322,,"Bedroom Costume",BD1322,13,product,"Baci\BD1322_01","Baci\BD1322_02.jpg"
BD1326,,"Bedroom Costume",BD1326,14,product,"Baci\1326_front","Baci\1326_back.jpg"
BD1354,,"Bedroom Costume",BD1354,13,product,"Baci\1354_front","Baci\1354_back.jpg"
BD1361,,"Bedroom Costume",BD1361,54,product,"Baci\BD1361_01","Baci\BD1361_02.jpg"
BD1363,,"Thigh High",BD1363,56,product,"Baci\BD1363_000_01",
BD1374,,"Thigh High",BD1374,73,product,"Baci\BD1374_003_01",
BD1375,,"Thigh High",BD1375,162,product,"Baci\BD1375_003_01",
BD1377,,"Thigh High",BD1377,163,product,"Baci\BD1377_003_01",
BE481,,Eyelash,BE481,102,product,"Baci\BE481_01",BE481_01,"Eyelashes\BE481_01"
BE483,,Eyelash,BE483,92,product,"Baci\BE483_01",BE483_01,"Eyelashes\BE483_01"
BE484,,Eyelash,BE484,21,product,"Baci\BE484_01",BE484_01,"Eyelashes\BE484_01"
BE485,,Eyelash,BE485,5,product,"Baci\BE485_01",BE485_01,"Eyelashes\BE485_01"
BE486,,Eyelash,BE486,134,product,"Baci\BE486_01",BE486_01,"Eyelashes\BE486_01"
BE488,,Eyelash,BE488,64,product,"Baci\BE488_01",BE488_01,"Eyelashes\BE488_01"
BE489,,Eyelash,BE489,115,product,"Baci\BE489_01",BE489_01,"Eyelashes\BE489_01"
BE492,,Eyelash,BE492,81,product,"Baci\BE492_01",BE492_01,"Eyelashes\BE492_01"
BE494,,Eyelash,BE494,126,product,"Baci\BE494_01",BE494_01,"Eyelashes\BE494_01"
BE496,,Eyelash,BE496,38,product,"Baci\BE496_01",BE496_01,"Eyelashes\BE496_01"
BE498,,Eyelash,BE498,118,product,"Baci\BE498_01",BE498_01,"Eyelashes\BE498_01"
BE500,,Eyelash,BE500,50,product,"Baci\BE500_01",BE500_01,"Eyelashes\BE500_01"
BE506,,Eyelash,BE506,118,product,"Baci\BE506_01",BE506_01,"Eyelashes\BE506_01"
BE508,,Eyelash,BE508,126,product,"Baci\BE508_01",BE508_01,"Eyelashes\BE508_01"
BE510,,Eyelash,BE510,66,product,"Baci\BE510_01",BE510_01,"Eyelashes\BE510_01"
BE511,,Eyelash,BE511,26,product,"Baci\BE511_01",BE511_01,"Eyelashes\BE511_01"
BE512,,Eyelash,BE512,129,product,"Baci\BE512_01",BE512_01,"Eyelashes\BE512_01"
BE517,,Eyelash,BE517,106,product,"Baci\BE517_01",BE517_01,"Eyelashes\BE517_01"
BE520,,Eyelash,BE520,71,product,"Baci\BE520_01",BE520_01,"Eyelashes\BE520_01"
BE522,,Eyelash,BE522,32,product,"Baci\BE522_01",BE522_01,"Eyelashes\BE522_01"
BE523,,Eyelash,BE523,74,product,"Baci\BE523_01",BE523_01,"Eyelashes\BE523_01"
BE525,,Eyelash,BE525,78,product,"Baci\BE525_01",BE525_01,"Eyelashes\BE525_01"
BE533,,Eyelash,BE533,119,product,"Baci\BE533_01",BE533_01,"Eyelashes\BE533_01"
BE535,,Eyelash,BE535,100,product,"Baci\BE535_01",BE535_01,"Eyelashes\BE535_01"
BE536,,Eyelash,BE536,136,product,"Baci\BE536_01",BE536_01,"Eyelashes\BE536_01"
BE539,,Eyelash,BE539,18,product,"Baci\BE539_01",BE539_01,"Eyelashes\BE539_01"
BE546,,Eyelash,BE546,46,product,"Baci\BE546_01",BE546_01,"Eyelashes\BE546_01"
BE551,,Eyelash,BE551,37,product,"Baci\BE551_01",BE551_01,"Eyelashes\BE551_01"
BE570,,Eyelash,BE570,62,product,"Baci\BE570_01",BE570_01,"Eyelashes\BE570_01"
BE573,,Eyelash,BE573,118,product,"Baci\BE573_01",BE573_01,"Eyelashes\BE573_01"
BE580,,Eyelash,BE580,115,product,"Baci\BE580_01",BE580_01,"Eyelashes\BE580_01"
BE582,,Eyelash,BE582,81,product,"Baci\BE582_01",BE582_01,"Eyelashes\BE582_01"
BE584,,Eyelash,BE584,75,product,"Baci\BE584_01",BE584_01,"Eyelashes\BE584_01"
BE586,,Eyelash,BE586,62,product,"Baci\BE586_01",BE586_01,"Eyelashes\BE586_01"
BE588,,Eyelash,BE588,10,product,"Baci\BE588_01",BE588_01,"Eyelashes\BE588_01"
BE597,,Eyelash,BE597,112,product,"Baci\BE597_01",BE597_01,"Eyelashes\BE597_01"
BE599,,Eyelash,BE599,63,product,"Baci\BE599_01",BE599_01,"Eyelashes\BE599_01"
BE604,,Eyelash,BE604,48,product,"Baci\BE604_01",BE604_01,"Eyelashes\BE604_01"
BE606,,Eyelash,BE606,19,product,"Baci\BE606_01",BE606_01,"Eyelashes\BE606_01"
BE607,,Eyelash,BE607,166,product,"Baci\BE607_01",BE607_01,"Eyelashes\BE607_01"
BE608,,Eyelash,BE608,58,product,"Baci\BE608_01",BE608_01,"Eyelashes\BE608_01"
BE609,,Eyelash,BE609,67,product,"Baci\BE609_01",BE609_01,"Eyelashes\BE609_01"
BE611,,Eyelash,BE611,21,product,"Baci\BE611_01",BE611_01,"Eyelashes\BE611_01"
BE612,,Eyelash,BE612,45,product,"Baci\BE612_01",BE612_01,"Eyelashes\BE612_01"
BE615,,Eyelash,BE615,98,product,"Baci\BE615_01",BE615_01,"Eyelashes\BE615_01"
BE622,,Eyelash,BE622,124,product,"Baci\BE622_01",BE622_01,"Eyelashes\BE622_01"
BE624,,Eyelash,BE624,69,product,"Baci\BE624_01",BE624_01,"Eyelashes\BE624_01"
BE627,,Eyelash,BE627,68,product,"Baci\BE627_01",BE627_01,"Eyelashes\BE627_01"
BE632,,Eyelash,BE632,89,product,"Baci\BE632_01",BE632_01,"Eyelashes\BE632_01"
BE644,,Eyelash,BE644,59,product,"Baci\BE644_01",BE644_01,"Eyelashes\BE644_01"
BE647,,Eyelash,BE647,76,product,"Baci\BE647_01",BE647_01,"Eyelashes\BE647_01"
BE656,,Eyelash,BE656,42,product,"Baci\BE656_01",BE656_01,"Eyelashes\BE656_01"
BE657,,Eyelash,BE657,32,product,"Baci\BE657_01",BE657_01,"Eyelashes\BE657_01"
BE658,,Eyelash,BE658,42,product,"Baci\BE658_01",BE658_01,"Eyelashes\BE658_01"
BE659,,Eyelash,BE659,25,product,"Baci\BE659_01",BE659_01,"Eyelashes\BE659_01"
BE660,,Eyelash,BE660,24,product,"Baci\BE660_01",BE660_01,"Eyelashes\BE660_01"
