stock_code,description,parent_stock_type,parent_stock_code,stock_available,post_type,image_1,image_2
FLORENCE-BLK-10,"FLORENCE Black / UK7 / US10 / EU40",Hades,FLORENCE,1,product,"Hades\FLORENCE.jpg",
HERA-BLK-7,"HERA Black / UK4 / US7 / EU37",Hades,HERA,1,product,"Hades\HERA2.jpg",
ALDER-BLK-8,,Hades,ALDER-BLK-8,1,product,"P:\Hades Footwear\ADLER-MIDBRWN_03.jpg",
ARMA-BLK-6,"ARMA / Black / UK3 / US6 / EU36",Hades,ARMA,1,product,"Hades\ARMA_BLK.jpg",
BJORN-BLK-6,"BJORN / Black / UK3 / US6 / EU36",Hades,BJORN,1,product,"Hades\BJORN-BLK.jpg",
BOND-BLK-8,"BOND / Black / UK5 / US8 / EU38",Hades,BOND,1,product,"Hades\BOND_3.jpg",
ICON-BRN-6,"ICON / Brown / UK3 / US6 / EU36",Hades,ICON,1,product,"Hades\BJORN-BLK.jpg",
LAWSON-BLK-8,"LAWSON / Black / UK5 / US8 / EU38",Hades,LAWSON,1,product,"Hades\LAWSON-9050-2.jpg",
PRISM-BLK-6,"PRISM / Black / UK3 / US6 / EU36",Hades,PRISM,1,product,"Hades\PRISM_2.jpg",
RIPLEY-PEW-11,"RIPLEY / Pewter / UK8 / US11 / EU42",Hades,RIPLEY,1,product,"Hades\Ripley_Pwt.jpg",
SCARLET-BRN-7,"SCARLET / Brown / UK4 / US7 / EU37",Hades,SCARLET,1,product,"Hades\SCARLET2.jpg",
SHADE-BLK-8,"SHADE / Black / UK5 / US8 / EU38",Hades,SHADE,1,product,"Hades\SHADE_BLK.jpg",
SHADE-BRG-8,"SHADE / Burgundy / UK5 / US8 / EU38",Hades,SHADE,1,product,"Hades\SHADE_RED2.jpg",
SIDHE-BLK-8,"SIDHE / Black / UK5 / US8 / EU38",Hades,SIDHE,1,product,"Hades\SIDHE1.jpg",
STELLA-BLK-7,"STELLA / Black / UK4 / US7 / EU37",Hades,STELLA,1,product,"Hades\STELLA_BLK3.jpg",
