stock_code,description,parent_stock_type,parent_stock_code,stock_available,post_type,image_1,image_2
ES-PNK1,,Skirt,ES-PNK1,7,product,"Hustler\ES-PNK1_01",
HF02,,Set,HF02,38,product,"Hustler\HF02",
HH15,,Pantyhose,HH15,41,product,"Hustler\HH15-BLK_01",
HH16,,"Thigh High",HH16,1,product,"Hustler\HH16-BLK_01",
HH18,,Pantyhose,HH18,46,product,"Hustler\HH18-BLK_01",
HH22,,Pantyhose,HH22,78,product,"Hustler\HH22-BLK_01",
HH23,,Pantyhose,HH23,40,product,"Hustler\HH23-BLK_01",
HH24,,Pantyhose,HH24,27,product,"Hustler\HH24-BLK_01",
HH29,,Pantyhose,HH29,61,product,"Hustler\HH29-BLK_01",
HH3,,Pantyhose,HH3,22,product,"Hustler\HH3-BLK_01",
HH30,,Pantyhose,HH30,39,product,"Hustler\HH30-BLK_01",
HH31,,"Knee High",HH31,31,product,"Hustler\HH31-WHT_01",
HH32,,"Knee High",HH32,65,product,"Hustler\HH32-BLK_01",
HH46,,"Knee High",HH46,24,product,"Hustler\HH46_01",
HH47,,"Knee High",HH47,8,product,"Hustler\HH47_01",
HH6,,Pantyhose,HH6,95,product,"Hustler\HH6_BLK_01",
HH78,,Tops,HH78,1,product,"Hustler\HH78-BLK_01",
HL200,,Set,HL200,6,product,"Hustler\HL200_BLK_01",
HL212,,Set,HL212,15,product,"Hustler\HL212_BLK_01",
HL228,,Teddy,HL228,2,product,"Hustler\HL228_LEO_01",
HL229,,Teddy,HL229,3,product,"Hustler\HL229_LEO_01",
HL231,,Set,HL231,6,product,"Hustler\HL231_LEO_01",
HLW-3,,"Leg Wraps",HLW-3,1,product,"Hustler\HLW_3_01",
HTIE-RED1,,Necktie,HTIE-RED1,39,product,"Hustler\HTIE_RED1_01",
HU-X1002,,Dress,HU-X1002,39,product,"Hustler\HU-X1002_01",
NU21,,"Mens Dress Up",NU21,4,product,"Hustler\NU21_01",
NU22,,"Mens Dress Up",NU22,4,product,"Hustler\NU22_01",
HRP-07-BLK-S/M,"Bling Booty Short - 100% DTF - Black Small/Medium",Boyshort,HRP-07,9,product,"Hustler\HRP-07_01",
HRP-07-BLK-M/L,"Bling Booty Short - 100% DTF - Black Medium/Large",Boyshort,HRP-07,14,product,"Hustler\HRP-07_01",
EP100-BLK/PNK-OS,"Hustler Ruffle Booty Shorts - Black/Pink One Size",Boyshort,EP100,10,product,"Hustler\EP100-BPNK_01",
EP100-BLK/RED-OS,"Hustler Ruffle Booty Shorts - Black/Red One Size",Boyshort,EP100,1,product,"Hustler\EP100-BRED_01",
