stock_code,description,parent_stock_type,parent_stock_code,stock_available,post_type,image_1,image_2
MS2706-BLK-OS,,"Posing Strap",MS2706-BLK-OS,12,product,"Magic Silk\2706BLK.jpg","Magic Silk\2706BLK_Back.jpg","Magic Silk\2706BLK"
MS6886-COB-M,"Panel Short - Cobalt Medium",Shorts,MS6886,1,product,"Magic Silk\6886COB.jpg","Magic Silk\6886COB_Back.jpg"
MSB404-BLK-S/M,"Cupless Merry Widow & G-String - Black Small/Medium",Lingerie,MSB404,0,product,"Magic Silk\B404BLK.jpg","Magic Silk\B404BLK_Back.jpg"
MSB405-BLK-L/XL,"Teddy w/ Snap Crotch - Black Large/X-Large",Lingerie,MSB405,1,product,"Magic Silk\B405BLK_Alt1.jpg","Magic Silk\B405BLK_Back.jpg"
MSB405-BLK-QS,,Teddy,MSB405-BLK-QS,1,product,"Magic Silk\B405BLK_QS.jpg","Magic Silk\B405BLK_Back_QS.jpg","Magic Silk\B405BLK_ALT_QS.jpg"
MSB410-BLK-QS,,Skirt,MSB410-BLK-QS,2,product,"Magic Silk\B410BLK_QS.jpg","Magic Silk\B410BLK_Back_QS.jpg","Magic Silk\B410BLK_ALT_QS.jpg"
MSB411-BLK-L/XL,"Cupless Teddy w/ Snap Crotch - Black Large/X-Large",Lingerie,MSB411,1,product,"Magic Silk\B411BLK_1.jpg","Magic Silk\B411BLK_3.jpg"
MSB414-BLK-QUEEN,"Bra, Peek-a-Boo Panty & Garter Set - Black Queen Size",Lingerie,MSB414,2,product,"Magic Silk\B414BLK_QS.jpg","Magic Silk\B414BLK_Back_QS.jpg"
MSB414-PNK-QUEEN,"Bra, Peek-a-Boo Panty & Garter Set - Pink Queen Size",Lingerie,MSB414,2,product,"Magic Silk\B414PIN_QS.jpg","Magic Silk\B414PIN_Back_QS.jpg"
MSB420-RED-M,"Corset & G-String - Red Medium",Lingerie,MSB420,1,product,"Magic Silk\B420RED.jpg","Magic Silk\B420&B421BackRED.jpg"
MSB420-RED-XL,"Corset & G-String - Red X-Large",Lingerie,MSB420,24,product,"Magic Silk\B420RED.jpg","Magic Silk\B420&B421BackRED.jpg"
MSB420-BLK-L,,"Bustiers & Corsets",MSB420-BLK-L,2,product,"Magic Silk\B420BLK.jpg","Magic Silk\B420&B421BackBLK.jpg"
MSB420-BLK-M,"Magic Silk Corset & G-String / Black / Medium",Lingerie,MSB420,2,product,"Magic Silk\B420BLK.jpg","Magic Silk\B420&B421BackBLK.jpg"
MSB420-BLK-S,"Magic Silk Corset & G-String / Black / Small",Lingerie,MSB420,2,product,"Magic Silk\B420BLK.jpg","Magic Silk\B420&B421BackBLK.jpg"
MSB420-BLK-XL,"Magic Silk Corset & G-String / Black / X-Large",Lingerie,MSB420,2,product,"Magic Silk\B420BLK.jpg","Magic Silk\B420&B421BackBLK.jpg"
MSB420-PUR-XL,"Magic Silk Corset & G-String / Purple / X-Large",Lingerie,MSB420,1,product,"Male_Power\B420PPL",
MSB421-WHT-M,"Cupless Corset & G-String - White Medium",Lingerie,MSB421,4,product,"Magic Silk\B421WHT.jpg","Magic Silk\B421WHT_Back.jpg"
MSB421-BLK-L,,"Bustiers & Corsets",MSB421-BLK-L,1,product,"Magic Silk\B421BLK.jpg","Magic Silk\B420&B421BackBLK.jpg"
MSB421-BLK-M,"Magic Silk Cupless Corset & G-String / Black / Medium",Lingerie,MSB421,2,product,"Magic Silk\B421BLK.jpg","Magic Silk\B420&B421BackBLK.jpg"
MSB421-BLK-S,"Magic Silk Cupless Corset & G-String / Black / Small",Lingerie,MSB421,2,product,"Magic Silk\B421BLK.jpg","Magic Silk\B420&B421BackBLK.jpg"
